P,S
내가 건강이 썩 좋지가 않지만 그래도 빌빌거리는 건 아닌데 말이야.,누가 뭐라고 하던가요?
선생님이 자꾸 자격증 따라고 해서 귀찮아 죽겠어.,선생님이 자격증 따라고 해서 많이 귀찮으셨군요.
정말 내 남편은 나의 마음을 몰라주네.,남편분이 마음을 몰라주시는군요.
내가 열심히 일해서 번 돈으로 아내가 사치하는 것 같아 걱정이야.,걱정되시는 이유가 무엇인지요?
자꾸 아들이 돈 달래서 짜증나.,기분이 안좋으시겠어요.
나는 여태까지 연락 한 번 안하는 자식들을 기다리고만 있었어.,왜 연락이 잘 안 됐었나요?
내 주변은 그저 나를 이용하려는 사람들 뿐이야.,왜 그런 생각을 하시게 되었어요?
연기도 못하는데 잘 생긴 친구가 나를 재치고 주역이 되었다니 속에서 천불이나.,연기 못하는 친구가 주연을 하게되서 화가 나시는군요.
평소 내게 잘하지 않았던 아들이 내 자산을 자기 것처럼 생각해서 분노가 치밀어.,평소 잘하지 않았던 아들이 자기 자산처럼 생각해서 분노를 느끼고 계시는군요.
반 친구들이 괴롭혀.,내 괴롭히나요.
따돌림 당하는 친구에게 매점 심부름을 시키면서 괴롭혔어.,따돌림 당하는 친구에게 심부름을 시키면서 괴롭히셨군요.
재태크에 밝은 처남에게 노후 준비 차원에서 자금을 맡겼는데 처남이 금융 사기를 당해서 모든 돈을 잃었대,금융사기를요?
요즘 은퇴 후 살 집을 정하느 남편과 더 자주 싸우는 것 같아.,새로운 집을 구하는 과정에서 의견이 많이 엇갈리는군요.
대인관계가 구역질이 나.,어떤 이유인가요?
주민 행정센터에서 수강 내용 중에 미리 유언장을 작성하는 프로그램이 있어.,그런 프로그램이 있어요?
드디어 일진에게 복수하는 역사적인 날이네.,왜 복수하는 건가요?
애인이 내가 잠시라도 연락이 안 되면 무엇을 하고 있냐면서 툴툴대.,애인이 툴툴대는군요.
친구가 돈을 갚지 않아서 노여우시군요.,내일까지 갚지 않으면 친구 부모님에게 말해야겠어.
팀장님이 나에게 자기의 일을 시키면서 못한다고 뭐라고 하시는 데 매우 분해.,매우 화가 나고 섭섭하시겠어요.
아빠는 여행을 매번 다음에 가자고 미뤄.,속상하셨겠네요.
내가 은퇴 후에 가정 내에서 내 역할 비중이 많이 줄어들었어.,가정에서 자신의 역할이 작아졌다고 생각하니 속상하셨겠어요.
이번 수행평가 완전 망했어.,속상하겠네요.
따돌림을 받아서 좌절했어.,왜 그러세요?
누가 악의적으로 노후준비를 방해하는 기분이야.,왜 그렇게 생각하세요?
회사의 부도로 정리해고를 당했어.,정말 많이 속상하겠어요.
나 요즘 애들이 때려서 학교에 가기 싫어.,학교폭력 때문에 학교 가기가 꺼려지시는군요.
노후를 생각하면 참 답답해.,무슨 걱정 있으세요?
공부만 하는 매일이 정말 구역질이 나.,공부하는 일이 힘드신것 같아요.
대학교 졸업하고 취업을 못하고 있어.,취업 못하고 계시는군요.
저번에 면접 본 회사에서 이번주에 면접결과 알려준다고 했는데 왜 이렇게 연락이 없지.,면접결과를 기다리고 있군요.
직장 화장실에 누가 볼 일 보고 물을 안 내렸어.,화장실에서 많이 당황스러우셨군요.
요즘 젊은 직원들은 도대체 이해할 수 없어,직원들과 무슨일이 있으셨나봐요.
주변에 결혼을 하고 싶어도 못하는 사람들이 많아.,결혼이란게 의욕만 가지고 가능한 것이 아니기 때문이 아닐까요?
당뇨병으로 건강관리하는 일은 정말 성가셔.,당뇨병관리 하시는 일이 성가시나 보네요 성가시지않게 당뇨관리할 수 없을까요?
운동을 잘하는 친구가 있는데 왠지 질투가 나서 짜증을 냈어.,질투가 나서 짜증이 나는거 충분히 이해해요.
왜 일해도돈이 모이질 않는 거야.,돈이 잘 모이지 않으시군요.
은퇴 준비 노후준비를 나름 잘하고 있다고 생각했는데 배우자의 핀잔을 들으면 짜증이 나.,열심히 하고 있는데 그런 핀잔을 듣는다면 의욕 상실이 될 것 같습니다.
직장에서는 업무만 하면 안 될까?,무슨 일 있으신가요?
내가 벌써 은퇴라니.,왜 그러세요?
여자친구가 월급날에 옷을 사주기로 했는데 아무 말이 없어.,약속을 까먹은 것 같아서 슬프시겠어요.
나 엄마때문에 짜증나.,무슨 일 있으셨나요?
요즘 비위가 약해서 속이 자꾸 울렁거려.,어떤 경우가 그러신가요?
아 정말 요즘 취업시장에서 남성만 우대한다는 사실이 나를 너무 짜증나게 하네.,남성우대라는게 어떤 말씀이신가요?
자꾸 친구가 개를 데려오네.,개를 싫어하시는데 만나게 되셔서 힘들겠어요.
난 옆집 할머니를 보기만 해도 구역질이나.,무슨 일인지 자세히 말씀해 주실 수 있으실까요?
부모님이 매일 싸우셔서 화가 나.,부모님은 어떤 이유로 싸우시나요?
요즘 대인관계 때문에 화가 나.,대인관계 때문에 화가 나셨군요.
나는 아들 삼수라도 시키려고 했는데 본인이 대학 가면 뭐하냐고 군대나 가겠다고 해서 너무 절망적이야.,왜 대학을 포기하려고 하는지 대화 나눠보셨나요?
상사 때문에도 힘든데 혹 하나 더 붙어서 스트레스야.,혹 붙은 스트레스는 어떤 경우라서 그러신 건가요?
결혼 준비를 하는데 너무 지쳐서 남자친구한테 다 알아서 하라고 해버렸어.,결혼 준비 때문에 스트레스를 많이 받으시는군요.
난 늘어지게 자고 싶은데 와이프가 대청소를 하면서 방해를 해서 도저히 편히 잘 수가 없어.,잠자는 걸 방해 받으면 정말 싫으시겠어요.
은퇴시기가 다가왔는데 모아둔 돈이 없어 슬퍼.,노후준비가 안되어 걱정이군요
요즘 주식시장이 좋다는데 내 종목은 왜 이런지 몰라.,상황이 조금 안좋아지셨나 보네요.
나는 괴롭히는 애들보다 모른척하는 애들이 더 짜증나.,괴롭힘 당하고 있나요?
친구들은 결혼 출산 다 했는데 난 아직 연인도 없어.,짝을 찾는 것에 대해 걱정이 많으시군요.
그 녀석 아파서 병원에 있다는데 이참에 큰 병에 걸렸으면 좋겠다.,그사람하고 평소 관계가 안좋으셨나 보네요.
대체 우리 가족들은 왜 그럴까.,무슨 일인가요?
이제 곧 대학교에 가야해.,대학교에 진학을 하실 하는군요.
엄마가 자꾸 공부 좀 하라고 휴대폰 좀 그만 하라고 해.,어머님이 공부하라고 하시는군요.
회사에서도 집에서도 매일 반복적인 일만 하니 너무 지겹네.,반복적인 일상이 지겨우시군요.
건강한 몸에 건강한 마음이 깃든다는 말이 생각나.,건강한 몸에 건강한 마음이 깃든다는 말에 공감이 가요.
더이상 나도 참고만 있지 않을거야.,힘든일 있으셨나요?
남편이 계속 몸에 좋다며 이것저것 징그러운 것들을 잔뜩 사 오는데 짜증 나.,남편이 징그러운 음식을 계속 구해 오셔서 힘드시군요.
나이가 드니 건강이 망가지는 게 점점 느껴져.,왜 건강이 망가지고 있다고 느끼시나요?
여친이 빨리 결혼하고 싶다고 안달이야.,여친이 결혼하자고 하면 좋은거 아닌가요?
곧 은퇴가 다가오는데 노후 준비가 안 되어서 짜증나.,은퇴가 가까워지는데 아직 노후 준비가 안 되었다면 확실히 짜증나실 것 같네요.
딸이 오늘도 규칙을 어기고 외박을 했어.,규칙을 어긴 딸 분께 어떤 감정이 드시나요?
목돈 모으기 너무 힘들다.,목돈 모으는 일이 힘에 부치시는군요.
중학교 동창 모임에 갔는데 나를 괴롭혔던 친구가 잘살고 있어 착하게 사는 것에 대해 회의감을 느꼈어.,과거에 괴롭혔던 사람을 만나 속상하셨군요.
오늘 병원에서 건강이 너무 좋지 않다는 말을 들었어.,건강이 많이 안 좋으신 것 같네요.
난 잘못 한거 없는데 노인정에 사람들이 이제 오지말라잖아.,갑작스러운 통보에 너무 당황하셨을것 같아요.
오늘 고등학교 원서 접수 날이었는데 내가 가고 싶은 학교의 경쟁률이 높아질까봐 다른 학교가 더 좋다고 친구들한테 말했어,가고 싶은 학교의 경쟁률이 높아질까봐 불안했군요
운전학원에서 강사로 일하는데 더러운 꼴을 많이 봐.,직장에서 무슨 일이 있으신가요?
모은다고 모았는데 오르는 집값에 내 집 마련은 꿈도 꿀 수가 없어.,집을 사는 것에 어려움을 느끼시는군요.
어떤 소문이 돌고 있나요?,누가 악의적으로 자꾸 나쁜 소문을 내는 것 같애.
아빠가 너무 답답해서 아빠한테 아빠란 사람이 왜 그러냐고 소리질렀어.,아빠에게 모진 말을 해서 마음이 편하진 않겠어요.
이번에 친구가 동업하자는데 어떡하지.,좋은 생각이군요.
친구에게 사기를 맞았어.,사기를 당하셨다구요?
친구가 결혼식이 가까워지니까 예민해져서 그런지 자꾸 짜증을 내.,친구가 결혼식이 가까워져 짜증이 많아지셨군요.
나는 학교 수업을 열심히 듣고 필기도 열심히 해.,학교생활을 열심히 하네요.
이 나이에 질환까지 있으니 다들 곧 내 곁을 떠날것 같아.,대인관계에 대한 고민이 많아보이세요.
집에 들어왔는데 도둑이 들어 비싼 귀금속들을 모두 훔쳐갔어.,도둑이 귀금속들을 훔쳐가 많이 화가 나시겠군요.
왜 나만 취업이 안되는거야?,화가 나셨나요?
진짜 옆집 김영감때문에 짜증나.,왜 짜증이 나실까요?
이번에 회사에 지원했었는데 면접에서 떨어졌어.,면접에서 떨어져서 많이 상심이 크시겠어요.
여기저기 아프기만 하고 이제 사는것도 성가셔.,몸이 많이 아프신가요?
내 남자친구는 너무 배려심이 없어.,남자친구분이랑 무슨 일 있으셨어요?
요즘 내 성적에 안달하게 돼.,성적이 잘 안나오세요?
친구가 갑자기 잠적해서 너무 화가 나.,친구가 갑자기 잠적하셔서 화가 나시는 군요.
의사가 손목 관절에 무리가 간다고 당구장 모임에 당분간 절대 나가면 안된대. 당구장 모임도 안나가면 무슨 재미로 사냐,당구장 모임에 나가지 못해서 많이 외로우시겠어요.
결국 암이 또 재발하고 말았어 절망적이야.,마음이 안 좋으시겠어요.
고등학교 동창 친구를 만날 때마다 정말 화가 나서 미치겠어.,무슨 일이 있으셨나요?
무슨 짓을 해도 허리가 아파서 짜증나.,많이 아프시고 짜증나시겠어요.
우리 부장님은 업무의 경계를 확실히 해 주셔야 한다고 생각해.,무슨 일이신가요?
건강때문에 좌절감이 들어.,왜 그러세요?
건강식품을 샀는데 원액도 아니고 비싸서 환불 요구 했는데 거절당했어.,많이 화났겠어요.
건강에 대해 방어적인 감정이 들어.,왜 그러세요?
직원들이 주인의식이 없으니 혼자 고군분투해도 힘만 빠지네.,다른 직원들은 노력을 안하는 건가요?
친구가 애인과 헤어졌을 때만 나한테 전화해서 짜증나.,친구가 애인과 헤어졌을 때 전화한다니 많이 당황했겠어요.
애인이 나랑 데이트 하기로 한 날 까먹고 친구들을 만나러 갔어.,애인이 약속을 잊어버려서 속상하셨겠어요.
남편이 어제 늦게까지 귀가하지 않아서 전화했더니 화를 내면서 다짜고짜 전화를 끊었어.,그때 어떤 마음이 드셨나요?
아들이 결혼을 안 한다고 아내가 너무 안달해.,아들의 결혼 때문에 걱정이시군요.
사람을 대하는 건 정말 쉽지 않은 것 같아.,사람을 만나면서 어려운 일을 겪으셨나요?
남자에게 늘 당하면서 남자 없이는 못 사는 친구에게 잔소리하려고 해.,그 친구를 많이 걱정하시나 봐요.
친구한테 빌려준 돈이 급하게 필요해져서 전화했는데 받지를 않아서 화가 나.,친구한테 돈을 빌려줬는데 급하게 필요해져서 전화했으나 받지 않아서 화가 나셨군요.
요즘 일 할 곳이 없으니 돈이 바닥나고 있어서 아주 스트레스야.,모아둔 돈이 바닥나서 스트레스를 받고 있으시군요.
회사 구내식당에 음식이 너무 짜.,음식이 너무 짜다니 화가 났겠어요.
하교 후 빨리 집에 가고 싶은데 쟤들이 날 불러내서 괴롭히려고 해.,분하고 속상하군요.
나는 싫다고 말했는데 왜 자꾸 카톡방에 초대해서 쓸데없는 메시지를 보낼까?,쓸데없는 메시지를 받아서 괴로우시군요.
건강을 관리하기 귀찮아.,건강이 안 좋으세요?
어제 딸아이가 저녁에 와서 나한테 하소연을 하더라고.,따님에게 무슨 일이 있었나요?
능력없는 상사때문에 화가 나.,상사와 문제가 있으신가요?
시험장에 가고 있는데 도착까지 시간이 촉박해.,시험 고사장에 입실하지 못하실까 봐 긴장되시겠어요.
오늘 열심히 준비한 시험에서 실수를 한 거 같아.,어떤 실수를 하셨는지 말씀해주실 수 있나요?
오늘 일찍 자려고 했는데 아빠가 늦게 들어오셔서 계속 잔소리하셔.,아버지에게 잔소리를 들어서 속상하신가보네요.
결혼을 왜 했을까.,왜 그러세요?
급한 돈이 필요해서 친구들한테 부탁했는데 아무도 도와주지 않아.,친구들이 필요할 때 도와주지 않아서 속상하시겠어요.
회사에서 올해 연봉을 아무런 협의 없이 동결 통보를 해버렸어.,협의 없이 연봉이 동결되어 화나시겠어요. 
글쓰기는 아무리 많이 해도 어려운 것 같아.,뭐가 가장 어렵게 느껴지시나요?
요즘 직장에서 마음에 들지 않는 사람의 험담을 윗선에 하는 경우가 있어서 진절머리나.,마음에 안 든다는 이유로 타인의 험담을 하는 상황을 겪으셨군요.
난 친구들에게 분명 그만 괴롭히자고 말했는데 친구들이 듣지 않았어.,친구들이 말을 듣지 않아 화가 나셨군요.
독립도 안 하고 매일 술에 취해 들어오는 아들이 꼴도 보기 싫고 화가 나.,독립도 안 하고 매일 술을 마시는 아들의 태도에 실망감과 분노를 느꼈군요.
편하게 쉬고 있으면서 나를 불러 심부를 보내는 누나 때문에 성가셔.,사용자님에게 심부름시키는 누나에게 화가 나시겠어요.
회사에서 자꾸 나더러 아홉 시보다 빨리 출근하라고 난리야.,정해진 출근시간보다 빨리 나오라고 하니 짜증이 날것 같아요.
돈이 많은 것도 문제네.,왜 돈이 많은 것도 문제라고 생각하시나요?
이번에 주식으로 많은 돈을 잃었어.,주식으로 많은 돈을 잃으셨군요.
오늘 친구가 여자친구랑 잘 지내냐고 물어보더라.,그래서 당신은 뭐라고 했나요?
나 화가 나는 일이 있어.,무슨 일 때문에 화나셨나요?
남자친구를 내가 훨씬 더 좋아하는 것 같아 짜증이나.,남자친구분의 사랑이 덜 느껴져 짜증 나셨군요.
오늘 면접은 너무 망했어!,면접 때 무슨 일이 있으셨나요?
여자 친구가 교통사고로 크게 다쳐서 의식이 없어서 너무 슬퍼!,많이 슬프시겠어요 어떻게 위로를 드려야 할까요
당뇨가 있는데 내가 좋아하는 빵을 먹을 수가 없어서 짜증이나,드시고 싶은 빵을 먹을수가 없어서 짜증이 나시겠어요
내 친구가 따돌림을 당하고 있어 내가 어떻게 해야할까.,친구가 따돌림을 당하고 있군요 많이 속상하시겠어요.
남자친구가 덥다고 계속 인상을 써서 짜증이 나.,조금 더 자세히 말씀해 주시겠어요?
의사는 내게 수술에 성공할 가능성은 십 프로도  되지 않는다고 말했어.,의사가 수술에 확신이 없어서 불안 하겠어요.
자전거를 타고 싶은데 남편은 나는 자전거를 못 탈 거라고 단정을 지었어.,자전거를 못 탈 거라고 해서 화가 나시는군요.
고부간의 갈등을 겪고 있는데 남편은 시부모님의 입장만 해서 미치겠어.,고부간 갈등에 남편분까지 이해해주지 않아 너무 힘드실 것 같아요.
부장님이 내가 할 수 없는 일을 자꾸 시켜.,능력 밖의 일을 담당하게 되어 거절하는 것도 성가시겠네요.
지난 건강검진에서 간암초기 진단을 받아 너무 짜증이 났어.,건강검진의 결과에 기분이 좋지 않으시군요.
나를 따돌리는 친구들이 진정한 친구들일까?,따돌리는 친구들 때문에 속상하시겠어요.
요즘 자식들이 아는척도 안하고 혼자 안달내는 느낌이야.,왜 그렇게 생각하세요?
몸이 아픈데 자꾸 뭐 갖다달라 뭐 해달라 짜증나.,누가 자꾸 부탁을 하시는군요?
아내가 폐암에 걸린 것이 흡연자인 나 때문인 것 같아.,그런 생각이 드신다니 마음이 괴로우시겠어요.
적금 금리가 많이 떨어져 돈을 모으기가 힘들어.,적금 금리가 많이 떨어져 돈을 모으시기 힘드시군요.
은퇴 앞두고 내집마련 하려니 전세난이라네.,오랜 준비 끝에 집을 구매하려니 매물이 없어 낙담이 크시겠어요.
왜 반에서 친구들을 괴롭히는 아이들이 있는지 모르겠어.,그런 친구들이 있나요.
틈만 나면 내 머리채를 쥐는 친구가 있는데 같이 학교생활을 하는 게 너무 무섭고 두려워.,반 친구 때문에 두려우시군요.
내 친구가 내가 짝사랑하는 사람과 사귀고 있다니 정말 구역질 나는 상황이었어.,친구의 행동으로 화가 나셨군요.
친구가 아내가 죽은 뒤 얼마 지나지 않아 고독사로 떠나버려서 나는 정말 안타깝고 슬프네.,친구 분이 돌아가셨다니 정말 마음에 담기 힘들 정도로 슬프시겠어요.
어떤 게임회사의 공모주 청약이 있는데 많이 배당받아야 할 텐데 안달 나네.,청약에서 많이 배당받고 싶으신가 봐요.
산책중에 어떤 아줌마가 나를 공격했어.,산책중에 봉변을 당하셨군요.
요즘 직장동료 때문에 신경 쓰여.,직장에서의 대인관계에 고민이 있으신 것 같아요.
날 버린 무리 애들한테 너무 화가 나.,무리에서 버려져서 화가 나는 심정을 이해해요.
요즘 탈모가 생겼는데 노인정 사람들이 따돌려서 역겨워.,탈모 때문에 따돌림을 받으시는군요.
누나때문에 너무 화가 나.,누나와 무슨 일이 있으셨던건가요?
정말 하루하루 지나가는게 아쉬워.,무슨 일이 있으신건가요?
요즘 내 친구를 만나기가 성가셔.,친구와 무슨 일이 있으셨나요?
나는 언제까지 이렇게 매일 똑같은 일을 하며 하루를 보내야 될까?,매일 똑같은 일을 하며 보내는군요.
친구들이 내가 간암에 걸렸다고 이제 모임에 나를 안 불러 괘씸해.,친구들이 당신이 간암에 걸렸다는 이유로 모임에 당신을 부르지 않아 괘씸하시군요.
아빠가 자꾸 이래라저래라 잔소리해서 너무 성가셔.,많이 간섭을 하신 편이신가요?
언제 죽을 지 몰라서 짜증나.,그렇게 생각하시는 이유가 있나요?
내 나이가 되면 건강검진을 주기적으로 받아야 한다는데 결과가 안 좋을 것 같아서 자꾸 미루게 돼!,건강검진 언제쯤 받아보실 생각이신가요?
이제 아내와 싸우는 것도 지겨워.,어떤 일 때문인가요?
집주인이 전세 가격을 너무 많이 올려서 집에서 쫓겨나게 생겼어.,깊은 슬픔이 느껴져요.
남편이 나에게 그러더라.,무슨 말씀을 하시던가요?
정년퇴직하고 만성질환은 없지만 재정을 걱정하고 있어.,재정이 걱정이신가요.
도대체 나는 어떻게 해야 좋은 결혼 생활을 할 수 있을까?,결혼 생활이 마음에 안드시나요?
친구가 나를 때렸어.,무슨 이유로 때렸나요.
폐암에 걸리고 나니 길에서 담배 피는 사람들이 너무 싫어.,폐암이 있는데 담배 냄새를 맡으면 많이 괴로우시겠어요.
아니 팀장이 맨날 퇴근시간 다가오면 일을 줘서 화가 나 죽겠어.,이제 퇴근해야하는데 임박해서 일을 받으면 퇴근이 미뤄져서 기분이 나쁘시겠어요.
요즘 박과장이 너무 치고 올라오는데?,박과장님과 어떤 사이이신가요?
내가 어디가 어때서 면접에서 자꾸 떨어지는 거지?,계속적으로 고배를 마셔서 마음이 많이 상하셨겠어요. 
회사에서 힘들게 일하고 돌아와도 집에서 대화할 상대가 없어 외로워.,퇴근하신 후에 가족들과 대화가 없으신가 봐요?
남자친구를 실험해보려고 해.,왜 그러시죠?
결제일이 코 앞인데 아직도 어음 처리가 되지 않아 골치 아프군.,어음 처리로 인해 고민이 많으시군요.
처음 회사에 취직했을 때는 너무 좋았는데 지금은 생각이 많이 달라졌어.,왜 생각이 변하셨나요?
면접을 보러 갔는데 직무와 상관없는 질문에 역겨웠어.,면접관이 어떤 질문을 했나요?
내가 육십이 넘었는데 사람사귀기가 싫어.,왜 그런 생각을 하시나요?
자식이 부동산 사기를 당해서 내 속이 터져 진짜.,자식이 부동산 사기를 당해서 화가 나셨군요.
요즘 내 자식들 때문에 너무 화가 나.,자식들이 속상하게 하나봐요.
남편이 나 몰래 내 돈을 다 빼 썼어.,남편때문에 화가 나셨군요.
친구들이 내 용돈을 뺏어 가는게 너무 싫어.,정말 많이 괴로우시겠네요.
그 사장님이 잘못됐네요.,빨리 친구를 만들지 않으면 왕따가 될거같아.
회사에서 안 좋은 일이 있었어,어떤 일인지 구체적으로 말씀해주실 수 있나요?
요즘 기본적인 사회생활에 대해 말해도 툴툴대는 신입사원을 보면 스트레스가 쌓여 가.,신입사원이 많이 툴툴대는 스타일인가보네요.
친구가 화가 날 만한 일을 했나 보네요.,놀리는 것도 적당히 놀려야 하는데 오늘 하루종일 내 머리를 가지고 놀리지 뭐야.
지난번에도 탈락했는데 이번에도 떨어지니 의욕이 안생겨.,다음번에는 꼭 참여하게 되실거에요.
오늘 친구와 말다툼 했어.,무슨 이유로 친구와 말다툼을 하셨어요?
엄마하고 사이가 안 좋아.,왜 사이가 좋지 않나요.
요즘 내 의견은 다 묵살하는 팀장님 때문에 화가 나는데 그 팀장님께 꼭 인정을 받고 싶어.,팀장님이 의견을 묵살하셔서 화가 나지만 팀장님께 인정을 받고 싶으시군요.
은퇴까지 시간이 아직 남았는데 자꾸 눈치를 줘.,어떻게 눈치를 주는데요?
이력서를 많이 냈는데 계속 취업이 안 돼서 속상하고 부모님 얼굴을 못 보겠어.,취업 준비를 많이 하셨는데 원하시는 성과를 이루지 못해서 아주 답답하고 속상하실 것 같아요.
내일이 어버이날인데 자식들 중 누구 하나 연락이 없네.,내일이 어버이날인데 아직 자식들의 연락이 없군요.
요즘 젊은 사람들은 너무 이기적이야.,그렇게 느끼실 만한  경험이 있으신가요?
취업난이 점점 심각해져서 더 이상 지원 할 회사가 없어.,지원 할 회사가 없어서 당신의 기분은 어떠한가요?
내가 진짜 싫어하는 선배가 승진 못하게 하려고 일부러 프로젝트에서 실수했어.,프로젝트에서 일부러 실수해서 싫어하는 선배의 승진을 막으셨군요.
내가 지원한 회사에 뭐 좀 확인하러 갔다가 진짜 열받았어.,굉장히 충격적인 일이셨나봐요.
난 어릴 때부터 주사를 싫어했는데 내가 당뇨니까 어쩔 수 없이 나한테 주사를 놓고 있는 게 어이가 없어.,주사를 싫어하는데 스스로 주사를 놓고 있으니 얼마나 힘드시겠어요.
남자는 연애할 때랑 결혼할 때랑 정말 다른가 봐.,남편분이랑 무슨 일 있으셨나요?
친구들이 내 용돈을 뺏어 가는 게 너무 싫어.,정말 많이 괴로우시겠네요.
정년까지 받게 될 월급으로는 노후 대비가 가능할까 걱정이야.,노후 대비 때문에 걱정이 많으시군요.
대학교를 졸업한 지 몇 년이나 지났는데 동생은 취업을 할 생각을 안 해.,동생이 취업을 할 생각을 안 한다니 마음이 불편하시겠어요.
과장님이 본인이 작성해야 할 보고서를 나한테 떠넘겨서 화를 냈어.,힘든 일을 떠넘기는 과장님께 화를 냈군요.
가고 싶은 고등학교에 합격을 못해서 좌절감이 들어.,원하는 고등학교에 못 가서 많이 속상하시겠어요.
주식으로 재산을 탕진한 상태야 정말 난 걱정이다.,재산을 잃으셔서 많은 걱정을 하고 계시는군요 앞으로 어떻게 하실 계획이신가요?
친구와 아무리 얘기해도 의견이 맞지 않아서 전화를 끊어버렸어.,답답하기도 하고 화도 많이 났겠어요.
나 친구랑 절교할 거야.,친구와 무슨 일이 있었는지 말씀해주시겠어요?
가족들은 내 취향을 잘 모르는 것 같아,왜 그렇게 생각하게 되셨나요?
친구랑 장난치다가 두어 대 쳤는데 얘가 학폭위를 신고를 했네.,그걸 가지고 신고를 하다니 너무 짜증나겠어요.
지금 직장은 근무 환경도 안 좋고 박봉이야.,직장 환경이 좋지 못해서 걱정이시겠어요.
진짜 요즘 짜증나.,그러시군요 왜 짜증이 나시나요?
요즘 학교가는게 너무 싫고 내 인생이 좌절스러워.,그런 생각을 하신 이유라도 있으신가요?
감기라는게 너무 짜증나.,왜 화가 나셨나요?
부하 직원이 불성실해서 정말 짜증 나.,부하직원 때문에 스트레스가 있으시군요.
싫어하는 거 알면서 자기 몸을 챙겨야한다고 계속 음식을 차려.,기분이 좋지 않았겠어요.
공부하는 만큼 성적이 안 나와서 화가 나.,노력한 만큼 성과가 나타나지 않아 화가 나시겠네요.
사소한 실수했는데 사람들 많은 곳에서 크게 화를 냈어.,상심이 크시겠어요.
가게에 코로나 확진자가 다녀가서 방역업체를 불러 소독했어.,가게에 코로나 확진자가 다녀갔다니 화가 났겠어요.
우리 아빠는 충고하듯이 무조건 대학만 잘 가면 일이 잘 될 거라고 말해서 짜증나.,아빠의 그런 말 때문에 짜증이 많이 났을 것 같아요.
요즘 하루하루가 스트레스야.,스트레스 때문에 힘드시겠어요.
난 아내가 밥을 못해주면 인스턴트 음식을 먹어야 돼,인스턴트 음식을 먹어야 하는 이유가 아내가 밥을 못해줘서 인가요?
직장 면접을 봤는데 잘 안된 거 같아.,면접 결과가 안 좋으셨나 보네요.
아내는 나에게 너무 잔소리가 많고 툴툴대.,어떤 내용으로 잔소리를 하시나요?
남자 친구 어머니가 결혼식을 자꾸 마음대로 하려고 하셔서 짜증 나.,시어머니 되실 분이 결혼식을 본인 마음대로 하려고 하셔서 마음이 상하셨군요.
뭔가 면접에 임할때 더 대담하고 자신감있게 어필할 수 있는 방법이 없을까?,그렇게 너무 자세를 낮추지도 그렇다고 너무 높이지도 않는 태도가 참 중요한 것 같아요.
건강에 악의적이야.,무슨 일인가요?
일부러 기말을 망쳤어.,왜 그렇게 행동 하셨나요.
나 오늘 학교에서 분노를 참지 못하고 친구랑 싸웠어.,무슨 일 있으셨나요?
회사에 사사건건 말을 잘 퍼트리는 동료가 있어서 말하기가 조심스러워.,소문을 잘 내는 동료 때문에 신경이 쓰이는군요.
남편이 몰래 주식을 하다가 돈을 다 날렸는데 정말 화가 나.,남편 분이 몰래 주식을 하고 돈을 날려서 많이 화가 나시겠어요.
건강 검진 결과가 나왔는데 몹시 속상하군.,결과가 안 좋으셨어요?
학교폭력은 구역질이 나.,그렇게 생각하시는 이유가 있나요?
월말마다 신경이 쓰이는 일이 있어.,무슨 일 때문인지 말씀해주시겠어요?
믿었던 친구 놈도 다 가짜네.,친구 관계에 무슨 걱정거리 있으신가 봐요?
오늘 화가 많이 났어.,무슨 일이 있으셨나요?
요즘 몸이 점점 힘들어져.,어디가 아픈거에요?
부쩍 심해진 장염으로 이불에 실수 했는데 아내가 그 이불 위에서 자고 있어.,장염으로 이불에 실수 했다니 건강은 괜찮으신가요?
배가 고파서 친구랑 야식을 시켰는데 한 시간 째 안 와.,배가 고픈데 음식이 안 와서 기분이 좋지 않으시군요.
직장동료 때문에 화가 나서 죽겠어.,직장동료 때문에 많이 힘드시군요.
나는 우리 집에서 혼자인 것 같아 외로워.,혼자 있는 느낌이라 괴로우시군요.
엄마한테 용돈 올려달라고 졸랐어.,사고 싶은게 있나요?
아픈 곳도 없는데 매번 건강검진 하러 가는게 너무 성가시네.,건강검진 하러 가는게 성가시군요.
이번 건강검진에 갑상선쪽에 이상이 있다고 초음파하면서 세침검사했는데 결과는 며칠있다가 나온다고 하네.,건강 검사를 했는데 갑상선에 문제가 있어보였군요.
엄마가 나 성적이 떨어졌다고 화를 내셨어.,많이 떨어지셨나요.
상사들은 왜 어리다고 무시하는지 모르겠어.,회사에서 상사 때문에 속상한 일이 있으셨나 보군요.
가족한테 짜증이 나.,왜 그러세요?
다 망해버렸으면 좋겠어.,무슨 일이 있으신가요?
내가 싫어하는 친구가 애들한테 맞다가 도와달라고 내 바지 자락을 붙잡는데 너무 귀찮고 짜증났어.,싫어하시는 친구가 도와달라고 도움을 요청해서 귀찮았겠어요.
환갑에 질환이 생기고 나서 너무 좌절 했어.,어떻게 하면 좋을까요?
부모님이 이혼하신대.,부모님이 이혼하셔서 마음이 너무 아프시겠어요.
자식들이 늙은 부모한테 자꾸 돈을 달라고 해서 화가 나.,자식들이 자꾸 돈을 달라고 해 화가 나시는군요.
울 아들 취업못할거 같아.,아드님이 취업이 안되시는군요.
