P,S
남편한테 오늘 장 좀 봐달라고 했는데 안했어.,남편분에게 많이 실망하셨네요.
부모님은 나를 못 믿어서 어떤 일이든 똑바로 할 수 있겠냐고 하시는데 기분이 좋지 않아.,부모님이 못 믿어서 지금 자신감도 떨어지신 거 같고 기분도 좋지 않으시군요.
나는 겨우 피피티를 만들고 자료를 수집하는데 젊은 친구들은 다르더라.,조금 더 자세하게 말씀해주시겠어요?
결혼을 너무 급하게 추진한 것 같아.,결혼을 추진하는 과정에서 어려움이 있으신 건가요?
그 할머니에게 잘해주려고 해도 못들은 척해.,상대방이 마음을 못알아주면 너무 속상하죠.
어제 가족들과 오랜만에 여행을 갔다왔어.,즐거운 시간을 보내셨군요.
용돈이 부족해서 아빠 지갑에 손을 댔는데 지갑엔 천원 몇 개가 전부였어.,아버지의 지갑에 돈이 적어 보였군요.
안부는 묻지도 않고 돈이 필요할 때만 연락하는 자식들에게 환멸을 느껴.,무척 속상하시겠어요.
다시는 형들에게 돈을 빌려주지 않을 거야.,돈을 빌려주고 속상한 일이 있었나 봐요.
이 학교로 전학 온게 후회 돼.,왜 후회가 되시나요?
모든 일에 의욕이 없고 무기력해.,기운 빠지는 일이라도 있었는지 말해 주시겠어요?
나이 먹고 만성질환은 없지만 돈도 없어.,돈이 없으시군요.
이번에 업무 성과가 좋아 승진을 기대했는데 상사와 친한 동기가 올라갔지 뭐야.,승진을 기대하셨는데 실망하셨겠네요.
나랑 제일 친한 친구가 한국에서 취업이 힘들다고 유학을 갔어.,친한 친구가 떠나셔서 슬프실 것 같아요.
어머니가 아프셔.,많이 아프신건 아니죠?
내가 애인을 잘 안다고 생각했는데 갑자기 이해 못할 행동을 했어.,애인이 갑작스럽게 이해 못할 행동을 해서 당황스러웠겠어요.
다들 왜 시집 안 가냐고 볶아대는지 모르겠어.,결혼에 대한 압박을 많이 받으시나 봐요.
세상 살아 가는 게 재미가 없어.,조금 더 자세히 말씀해 주시겠어요?
노후준비를 어떻게해야하는지 걱정이야.,많이 걱정되시나봐요.
오늘 남편이 죽었어.,슬픔이 크시겠어요.
나는 엄마 아빠에게 인정받고 싶어서 공부를 열심히 하는데 기대에 부응하기 힘들어.,부모님이 노력을 인정해주지 않으셔서 힘드셨군요.
오늘도 학교에서 왕따를 당했어.,이건 정말 심각한 문제인데요.
친구가 따돌림을 당하는 걸 그냥 방관하고 있으니 괴로워 죽겠다.,친구의 상황을 방관해야 하니 많이 마음이 불편하시겠어요.
엄마가 암에 걸렸어.,심각한 상황인가요.
이번 승진에도 탈락했어 동기들은 다 승진했는데 나만 누락됐더라고.,상심이 크시겠어요.
노력해도 결과가 없으니까 눈물만 나.,무슨 일이 있으신지 여쭤봐도 실례가 안 될까요?
학교에서 친구들이 나를 없는 사람처럼 대해서 학교 천장이 무너져서 학교 안 갔으면 좋겠어.,친구들이 상대해주지 않아서 힘드시겠어요.
병원에 입원해 있는데 같은 병실에 있는 동기가 죽었어.,같은 병실에 계시는 친구 분이 돌아가셨군요.
쉰살 밖에 안됬는대 은퇴할려고 하니 너무 비통해.,어떻게 하면 좋을까요?
할머니가 아빠랑 하는 얘기를 들었는데 나를 왜 낳았냐고 구박했어 우울해.,할머니와 아버지가 하는 이야기를 듣고 우울한 감정이 들 수 있어요.
노인정에 김씨 할머니한테 고백했다가 거절당했어.,많이 실망스러우시겠어요.
친구랑 같이 시험공부 했었는데 이번 시험에 친구만 성적이 엄청 올랐어.,같이 공부 했는데 친구만 성적이 올라서 속상하겠어요.
예전에 사귀었던 전 남자 친구가 나보다 더 좋은 조건의 여자와 결혼한다고 하네.,마음이 아프셨겠네요.
나 진짜 왜 술을 많이 마시고 다녔을까?,왜 그런 질문믈 하시나요?
팀장님께 보낸 데이터에 실수가 있었네.,실수를 하셨다니 많이 속상하셨겠어요.
오늘 서점에 들렀다가 사과하는 법이란 책을 발견해서 읽다가 왔어.,그런 책을 보신 것을 보니 사과하고 싶은 상대가 있으신가 보네요.
집을 구매해서 고향으로 내려가려고 했는데 역부족이었어.,안타까운 마음이 저한테까지 느껴지는 것 같네요.
돈에 환멸이 나.,그렇게 생각하시는 이유가 있나요?
학교생활과 공부가 힘들어서 요즘은 자퇴하고 싶다는 생각만 들어.,학교생활이랑 공부 때문에 힘드시겠어요.
이번에 성적이 엄청 떨어졌어.,성적이 떨어져서 기분이 안좋겠어요.
난 이렇게까지 결혼식 준비가 힘든 건지 몰랐어.,어떤 점이 가장 힘드신가요?
아빠가 나 같은 아들을 가진 것이 후회된대.,아버님의 말씀으로 마음이 아주 힘드시겠어요.
다시 아무것도 없던 상태로 돌아가다니 너무 슬프네.,무슨 일이 있으셨나요?
친구가 절교 하자더군.,친구분과 다투셨나봐요.
뇌출혈로 쓰러지고 나서 깨어나보니 아내가 내 옆에서 울고 있었어.,뇌출혈로  쓰러지셔서 아내분이 우실만 하네요.
건강 때문에 업무가 마비되서 짜증나.,건강 문제로 직장에서 힘드시겠어요.
체육시간이 이렇게 안 기다려지는 애는 나밖에 없을거야.,왜 안기다려 지시나요?
돈을 모을 수가 없어서 너무 우울해.,돈을 모을 수 없어서 우울하셨군요.
엄마는 다 나보고 알아서 하래.,정말 슬프시겠어요.
친구가 소개한 여자 분이 있는데 아무래도 그 분이 날 별로 만나고 싶어하지 않는 것 같아.,왜 별로 만나고 싶어하지 않는다고 생각하시나요?
나이가 들어 아내와 자녀에게 내가 잘해주지 못해서 너무 슬퍼.,아 그렇군요 지금 감정이 너무 슬프시군요 그럼 어떻게 하시겠어요?
직장을 은퇴하고 나서 딱히 할 일이 없어.,갑자기 생활방식이 바뀌면서 해야 할 일이 없어지셨군요.
건강에 대해 실망했어.,왜 그러세요?
남자친구하고 못 본 지 너무 오래됐어.,남자친구분이랑 왜 못 만나셨나요?
회사에서 쫓겨나듯이 퇴직하게 되어 서럽고 마음이 아프고 슬퍼.,회사에서 쫓겨나듯이 퇴직하게 되어서 속상하시겠어요.
문소리만 나도 누가 오려나 기다리는 내가 참 슬프고 쓸쓸하네,많이 슬프고 쓸쓸하시겠어요.
어제 직장에서 해고 통보를 받았어.,해고 통보라니 정말 상심이 크시겠어요.
친구들이 점점 많이 없어지는 것 같아.,친구들의 부재로 걱정이시군요.
자녀에게 경제적으로 도움을 주고 싶은데 돈이 없어 나는 가슴이 아프고 슬퍼.,도움을 주고 싶은데 줄 수 없어서 갑갑하시군요.
시간이 지날수록 친구들의 연락이 뜸해지는 것 같네.,친구 관계를 계속 이어나가는 것은 힘든 일인 것 같아요.
나 오늘 은퇴를 하고 받은 퇴직금에 실망했어.,퇴직 금액이 생각보다 적어서 실망이 되시나 보네요.
이 자본주의 사회는 너무 사람을 피곤하게 만들어.,혹시 무슨 일이 있으셨어요?
돈을 안 모은게 후회돼.,돈이 필요하세요?
회사일이 너무 많아 세상은 내가 없어도 잘 돌아가겠지?,회사일이 많이 힘드신가 보네요.
남자친구가 크게 다쳤어.,다치셨다니 정말 걱정이 많으시겠어요.
학교가 가기 싫어 무단으로 결석했는데 선생님이 나를 애타게 찾았다는 것을 알고 후회했어.,무단결석으로 후회가 되시는군요.
대학교를 졸업하자마자 여자친구와 헤어졌어.,이별을 경험하셨군요.
언니가 날 너무 짜증 나게 해.,언니분 때문에 짜증이 나시는군요.
지난번 프로젝트 며칠을 야근하며 제출했는데 부서장이 부결 시켜 너무 허무해.,밤새워 일해 제출한 프로젝트가 채택되지 못해 속이 많이 상하셨겠습니다.
나 여자친구 만난걸 후회해.,혹시 무슨 일 때문에 후회하나요?
이렇게 혼자 누워만 있으니 너무 우울해.,누워만 계셔서 우울하셨군요.
노후준비를 위해서 많이 노력을 했지만 점점 어려워지네.,노후준비가 점점 어려워지신다니 무슨 일 있으신가요?
감정이 마비된 기분이야.,무슨 일이 있으셨나요?
건강한 줄만 알았던 친구가 갑자기 황천길을 떠났다고 하네.,저런 친한 친구였나요?
선배 동료가 업무 실수를 책임 전가할 때 비통한 생각이 들어.,선배동료가 업무 실수를 책임 전가하면 비통한 생각이 들겠네요.
환자를 돈벌이 수단으로만 보는 의사들이 있어.,무엇이 그렇게 생각하게 만들었나요?
몸이 자꾸 아프니 나가는 돈이 많아지네.,아무래도 연세가 있으니 이쪽저쪽 아프시겠습니다.
오늘 친구에게 맞아서 울었어.,맞고 우셨나요.
친구에게 실망했어.,무슨 일이 있으셨나요?
회사 실적에 대한 중압감 때문에 잠도 이루지를 못하고 이게 살아가는 것인지 우울증까지 오네. ,실적에 대한 스트레스로 우울증이 오셨군요. 혹시 약을 복용하고 있으신지요
대학 졸업이 코 앞인데 취업이 결정이 안 돼서 답답해.,대학 졸업은 가까운데 취업이 결정 안 돼서 불안하시군요. 
선생님께 학교폭력을 당하고 있다고 도움을 요청했지만 내 말을 무시하셔서 낙담했어.,선생님께서 도움 요청을 거절하셔서 낙담하셨군요.
이렇게 허무할 수가 있나.,무슨 일 있으셨나요?
계속 우울하네.,혹시 안 좋은 일이 있으세요?
젊어서 돈 좀 모아두지 못한 게 후회돼.,왜 후회하시나요?
나이가 드니까 젊었을 때 하고 싶었던 것들을 포기한 게 후회가 되네.,하고 싶었던 것들을 포기하고 하지 않은 게 후회가 되시군요.
평생 일만 한것같은데 이렇게 돈이 없을 수가 있나.,생각보다 재정상태가 좋지 않아 실망하신거군요.
오늘 상사한테 꾸중을 들어서 낙담했어.,어떤 일 때문에 꾸중을 들으셨나요?
살면서 가끔 사람에 대해 환멸을 느낄 때가 있는데 선의로 베푼 한두 번의 호의를 당연시하며 지속해서 요구하는 경우야.,주로 어떤 관계에서 일어나는 일인가요?
치매에 걸렸는데 며느리가 날 요양원에 보내려고 해.,며느리에게 배신감도 느껴지고 많이 속상하시겠어요.
선생님께서 대학 추천 입학 가능성은 없냐고 물어보니 꿈도 꾸지 말라고 하셔서 무척 슬펐어.,선생님께서 추천 입학 가능성이 아예 없다고 하셔서 슬프시군요.
건강을 미리 챙길걸.,왜 그러세요?
일하기 싫다 그렇다고 놀 수도 없고.,무슨 힘든 일 있으셨어요?
청약에 떨어져 올해도 내 집 마련은 안 되겠어.,많이 힘드시겠어요.
방송이나 신문에서 건강을 다루는 시간이 부쩍 늘어난 것 같아.,매체에서 건강을 주제로 많이 다루는군요.
승진도 안되고 월급도 그대로니 열심히 일할 필요없어.,직장생활이 많이 힘드고 지치셨나 보네요.
남편의 병세가 별로 차도가 없다는 진단에 남편의 실망한 표정을 보고 너무 슬펐어.,차도가 없다는 진단에 실망한 남편을 보니 슬퍼지셨군요.
같은 반 친구가 따돌림을 당하고 있어.,친구가 따돌림을 당하다니 무섭겠어요.
주변 사람들과의 인간관계에 너무 많이 신경 쓰면서 살아온 것 같아.,주변 사람들을 많이 신경 써왔다니 무척 피곤했겠어요.
아이들이 다 크고 나니 남편이 나를 외면해. ,남편분의 태도 변화로 무척 서운하겠어요.
먼저 취업한 친구가 다음 달에 결혼한다고 청첩장을 보냈어.,청첩장을 보고 어떤 마음이 들던가요?
요새 너무 우울해.,그렇게 생각하시는 이유가 있나요?
건강을 미끼로 소비자들을 우롱하는 악덕 건강식품 판매업자들에게 환멸을 느껴.,그런 판매업자들에게 환멸이 느껴지셨나 보네요.
대학에 떨어져서 눈물이 나.,학업문제로 눈물이 나시는군요.
취업을 하고 싶은데 나를 필요로 하는 회사가 없는 거 같아.,스스로의 쓸모를 찾지 못해 허탈하겠어요.
재정문제로 낙담하고 있어.,어떤 이유인가요?
결혼 생활이 생각보다 만족스럽지 않아.,결혼 생활이 만족스럽지 못하시군요.
힘든 고민이 있어도 선생님이나 편한 친구에게 말을 못하겠어.,힘든 고민을 말하지 못해 많이 답답하셨을 것 같아요.
내 재정상태때문에 낙담했어.,돈이 부족한가요?
사람들과 대화를 못해서 너무 비통해.,어떻게 하면 좋을까요?
난 부모님 닮아서 아무리 공부해도 성적이 안 올라.,마음이 많이 안 좋으신 것 같아요.
건강만 생각하면 눈물나.,왜 그러세요?
내가 평판 관리를 하지 않았는데 이제 보니 좀 후회되네.,평판관리를 안 해서 후회하시는데 어떤 일이 있었나요?
취업을 못한 나는 동창회에 나가봐야 무시만 당할 거야.,무시당할 생각을 하면 많이 속상하시겠어요.
오늘 친구와 심하게 다퉈서 눈물이 날 것 같아.,친구와 다퉈서 속상하시겠네요.
결혼에 환멸이 느껴져.,무슨 일이 있으셨나요?
건강상태에 실망했어.,왜 그러세요?
친정 아빠가 폐암으로 돌아가셨어.,많이 속상하셨겠네요.
슬픈 현실이지만 남들에게 굳이 잘 보이려고 애쓰는 것은 모두 부질없어.,남들에게 잘 보이려고 애쓰며 사는 것은 의미가 없다고 생각하시는군요.
이제 은퇴할 날이 얼마 남지 않았는데 그 간의 세월이 참 비통하고 억울해.,그동안 고생 많이 하셨네요.
친구들은 대학입시 준비를 마쳤는데 나는 아직도 어느 대학을 갈지도 못 정했어 어떡하지?,대학입시준비 때문에 많은 고민 하셨는데 시간이 많이 없어서 힘드셨겠어요.
나이를 먹었나 그렇게 말이 잘 통하던 친구들하고도 이젠 말이 안 통하네,말 잘 통하던 친구분들과 그렇게 되어서 많이 속상하시겠어요.
인간관계에 환멸이 날 지경이야.,무슨 일이 있으셨나요?
사업 실패로 인해서 친구들은 물론 가족들까지 모두 떠나버렸어.,근처에 남은 사람들이 없어서 힘드시겠어요.
오늘 아들이랑 또 싸웠어.,많이 속상하시겠어요.
업무배치가 새롭게 되었다고 허둥대는 김 대리에게 실망이야.,업무배치가 바뀌어서 허둥대는 김 대리를 보고 실망하셨군요.
버스에서 노약자석에 앉았는데 아무도 뭐라 하지 않아 나이 든 거 같아 몹시 슬프다.,노인이 된 거 같아 슬프군요.
내 딸 성적에 낙담했어.,왜 그러세요?
이번 면접에 또 떨어졌어!,면접에 떨어져서 우울하시겠군요.
쌓아 온 경력이 아무 의미 없이 느껴져.,그렇게 느껴진다니 속상하겠어요.
교통사고 후 물리치료를 받았는데 너무 아파서 눈물이 안멈춰.,교통사고로 인해 많이 아프시겠어요.
복권을 열 장이나 샀는데 하나도 당첨이 안 돼서 속상해.,복권이 열 장 모두 당첨되지 않아 속상하셨군요.
아들이 남들과 다르게 건강하게 태어나지 못해 너무 속상해.,아들이 건강하지 못해 많이 속상하셨겠어요.
연애는 꼭 해야 할까?,연애에 대한 고민이 있으시군요.
비전이 있다고 생각해서 이 회사에 들어왔는데 내 판단이 틀린 것 같아 슬퍼.,기대한 만큼 회사에 비전이 없다는 생각에 무척 슬프겠네요.
돈을 보고 우울해졌어.,왜 그러세요?
이렇게 일해봐야 나한테 떨어지는 인센티브도 없는데 그냥 기대를 말아야지.,인센티브 말고 일하는걸 통해 어떤 긍정적인 가치를 창출할 수 있을까요?
딸이라고 아무것도 안 시켰더니 엄마 힘든 것도 몰라주고 서운하네!,따님 때문에 속상하시군요?
요즘 정말 걱정이 산더미같네.,무슨 안 좋은 일이 있으신가요?
부모님께서 형이랑 누나가 있으니 막내인 나는 뭐 안 해도 된대.,부모님께서 못 미더워 하시는 것 같아 기분이 안 좋으시군요.
지금 나이에 너무 이뤄둔 게 없는 것 같아.,무슨 일 있으셨나요?
나 아무래도 학교에서 은근히 따돌림을 당하고 있는 것 같아.,정말 속상하셨겠어요.
내 여동생이 이번 공무원 시험에 합격했어.,여동생분께서 공무원이 되셨다니 정말 기쁘시겠어요.
건강관리에 염세적인 기분이 들어.,많이 힘드시겠어요.
아버지께서 쓰러지셨는데 의식이 없으셔.,마음이 너무 아프시겠어요.
잘하려고 한건데 또 실수를 해버렸어.,그런 일이 있으셔서 속상하시겠어요.
요새 너무 우울해.,무슨 일이 있으셨나요?
나는 많이 아픈데 병원에 데려다 주는 식구가 한 명도 없어서 슬퍼.,아픈 사용자님을 병원에 데려다 주는 식구가 없어서 슬프시겠어요.
늙으신 부모님은 아직도 내가 방문할 때마다 차 조심해서 가라며 용돈을 주셔.,그럴 때 어떤 마음이 드나요?
딸이 참 이쁜 손편지를 써서 줬어.,너무 기쁘시겠어요.
정년퇴직한 친구들이 죽어가.,친구들이 죽어 가는군요.
최근에 나와 같이 입사했던 동기가 나보다 더 높은 이사급으로 승진해서 많이 우울해.,같이 회사 시작했던 사람이 더 빨리 승진하면 사실 정말 속상하지요.
오빠가 이제 곧 군대를 제 대해.,오빠 분께서 군대를 제대 하시는군요.
불길 속에서 사려달라는 아내의 외침이 들리는 듯 했지만 꼼짝할 수 없어 너무 슬퍼.,어쩔 수 없는 상황이 꼼짝할 수 없게 만든 것 같아요.
동네 카페에서 아내가 내가 모르는 남자와 함께 있어서 순간 너무 화가 났어.,아내가 모르는 남자와 함께 있어서 화가 나셨군요.
지금 이 나이가 되니 친한 사람이 누구인지 알 수가 없어.,친한 사람의 기준을 잘 모르셔서 힘드시군요.
거래처에서 문의전화가 너무 많이 와서 쉴 새가 없어.,전화가 많이 와서 무척 피곤하시겠어요.
요즘 결혼을 괜히 했다는 생각이 자주 들어.,조금 더 자세히 말씀해주시겠어요?
이번에도 노력했지만 임신이 잘 안 됐어.,원하시던 결과가 아니라서 속상하시겠어요.
우리 가족은 오늘로 해체됐어.,가족이 왜 해체되나요.
없는 사람이라 그런가? ,이유가 있나요?
그치만 이젠 신고를 해도 나에게 직접적인 도움이 되지 않을 것만 같아,아니에요 그래도 다른 사람들이 도와줄거에요
아침에 일어날 때마다 몸이 아파.,몸이 아파서 힘드시겠어요.
인생이 참 허무하네.,무슨 일이 있으신가요?
친구들을 생각하면 환멸감부터 생기는거 같아.,무엇 때문에 그러시나요?
일만 잘하면 된 거지 별걸 다 신경 써야 하네.,어떤 일에 대해 신경 써야 하는 상황인지 여쭤봐도 될까요?
싸움을 말리다가 오히려 상황을 안 좋게 만든 것 같아 마음이 무거워.,상황이 나빠져서 마음이 좋지 않으시겠어요.
조금만 걸어도 숨이 차서 밖을 나가기가 두려워.,조금만 걸어도 숨이 차서 힘드시겠어요.
이번에 소개팅 한 사람이 마음에 들어서 애프터 신청을 했는데 답장이 없어서 슬프네.,마음에 드는 이성에게 아직 연락이 없어 속상하시겠군요.
졸업 후에 취업준비는 뒤로 미루고 놀기만한 나에게 화가 나.,너무 속상하시겠어요.
가족한테 안 말한게 후회돼.,뭘 안 말했나요?
이혼했던 아내와 따라갔던 자식들이 이제와 너무 생각나서 미치겠어.,헤어졌던 가족들이 생각나 슬프시군요.
나는 부모님이나 동생이랑 사이가 요새 많이 안 좋아졌어.,어쩌다 그런 상황이 왔어요?
오늘도 회사에서 밤새야 할 것 같아.,회사에서 밤샘 작업으로 낙담하셨군요.
나 이제 더이상 여자친구한테 관심이 안가 감정적으로 너무 굳어버린것 같아.,어떤 일이 있으셨나요?
마누라가 나 몰래 성형수술을 했어.,부인께서 성형수술을 했군요.
일주일째 야근을 하고 있어.,연일 야근을 하시느라 힘드시겠어요.
아이가 친구를 때렸어.,아이의 행동으로 마음이 편치 않으시겠어요.
친구들의 따돌림으로 학교에 가는 것이 힘들어.,그런 어려움이 있군요.
오늘 정말 슬프네.,무슨 일 있으세요?
남자 친구와 사소한 일로 다투고 헤어졌어.,남자친구와 헤어지다니 정말 슬프겠네요.
이 나이에는 취업을 해도 회사에 민폐만 될 거야.,그렇게 느낀다니 속상하겠어요.
부모님이 공부만 잘했어도 나도 쉽게 좋은 성적 받았을 텐데.,마음이 안 좋으신 것 같아요.
오늘 이유없는 따돌림을 당했어.,누구한테 당했나요?
학교폭력 때문에 너무 비통한 기분이야.,어떻게 하면 좋을까요?
우리 집은 너무 가난해서 슬퍼 가족끼리는 화목한데.,많이 힘드신가봐요.
평생을 부지런히 일했어도 내 수중에 남는 돈이 얼마 안되니 실망스럽다.,열심히 일했으나 돈이 없어 마음이 좋지 않으시군요.
더 이상 사는 것이 기쁘지 않아.,사는 것이 기쁘지 않아서 슬프신가 봐요.
직장에서 상사가 나에게만 안 좋은 고과 점수를 줬어.,상사의 고과로 마음이 정말 어지러우시겠어요.
고혈압에 안 좋다는 걸 알면서도 맵고 짠 음식을 좋아했던 것이 후회돼.,고혈압에 안 좋은 식단을 지속했던 것이 후회되시는군요.
이번엔 분명히 정규직으로 전환이 될 줄 알았는데 너무 속상하다.,무엇이 속상함을 느끼도록 만들었나요?
연애를 하더니 머리가 복잡해서 마비될 것 같아.,연애가 많이 어려우세요?
지금 아무 생각도 안 나.,무슨 일이 있나요?
고혈압약을 몇 년째 먹고 있는데 이렇게 약에 의존해서 사는 게 정말 지긋지긋해.,매일 약을 먹어야 하는 건강 문제로 아주 힘들고 지치신 것 같네요. 
맨날 지각하던 직원이 오늘은 오전 시간이 끝나가도록 출근을 안 하고 있어.,평소에 지각하던 직원이 오늘은 출근을 안 했군요.
남편과 나 모두 은퇴하면 그 다음은 어떻게 해야 할지 모르겠어서 슬퍼.,은퇴한 다음에 어떻게 해야 할지 모르겠어서 슬프시군요.
코로나 확진자가 광주에서 줄어들지 않고 있어 걱정이야.,이런 상황을 보며 또 어떤 생각이 드셨나요?
재정 상황이 좋았을 때 돈을 좀 아꼈어야 했는데 이제와 후회가 되네.,상황이 좋았을 때 돈을 아껴 쓰지 않은 것을 후회하시는군요.
내후년이면 은퇴인데 난 아직 재정적으로 노후준비가 부족해.,은퇴시기가 다가오는데 노후준비가 안되어 있어 많이 걱정되시겠어요.
자기 자랑하기에 바쁜 친구가 있는데 만날 때마다 스트레스야.,만나서 자기 자랑만 하는 친구 때문에 힘들겠어요.
남편이 출산일에 함께 있어 주지 못할 것 같아 마음이 불편해.,어떠한 이유로 함께 있어 주시지 못하게 되셨나요?
돈이 없어지니 사람 사귀기 힘들어.,곤궁함이 큰 문제죠.
노후에도 재정 걱정을 하는 것에 환멸을 느껴.,노후에도 경제적인 부분 때문에 걱정이 많으시군요.
노인정 김씨 할머니하고 요새 사이가 안좋아.,무슨일 있으셨나요?
나는 본의 아니게 습관처럼 가족들에게 거짓말을 해.,가족들에게 자주 거짓말을 하시는군요.
학교 가는 길이 이젠 너무 지긋지긋해.,갑자기 그런 기분이 들게 되었나요?
어제 중학교 동창과 한잔했는데 둘 다 슬픈 마음이 많이 들었어.,왜 슬픈 마음이 든 건지 말씀해주세요.
영양제 챙겨 먹고 운동하는 것도 이제 지겨워.,그런 마음이 생기는 이유가 있나요?
친한 친구가 갑자기 사고로 죽어서 너무 슬퍼.,갑작스러운 사고로 인해 친한 친구를 보내서 슬프시겠어요.
항공사에서 일하고 싶었는데 코로나 때문에 아무것도 못 하겠어.,항공사에서 일하고 싶으셨군요.
오늘 병원에 다녀왔는데 암이 치료되지 않았대.,그렇군요 너무 실망하셨겠어요.
여자친구랑 어젯밤 싸워서 너무 슬퍼.,여자친구랑 싸워서 마음이 슬프시군요.
그렇게 믿던 친구였는데 날 속이다니 믿기질 않아.,친구관계에 문제가 있으셨군요.
며칠 전 남편이 회사에 사표를 내겠다고 하더라고.,회사에서 무슨 일 있으셨대요?
오늘 너무 슬픈 일이 있었어.,어떤 일이 있었어요?
하는 일마다 내가 망치고 있어.,무슨 일이신지 자세히 말씀해주세요.
결혼한 일을 후회해.,결혼에 대해 어떤 점이 후회스러우신가요?
요즘 인간관계에서 마비된 느낌이야.,왜 그러세요?
직장에 첫 출근했는데 환경이 열악해서 실망했어.,기대하고 출근하셨을텐데 실망하셨군요?
또 취업에 실패했어.,아쉽게도 취업에 실패하셨군요.
고등학교 동창을 오랜만에 만났는데 실망만 하고 왔어.,무슨 일이 있었나요?
건강에 환멸나.,왜 그러세요?
어제 내 친구가 죽었어.,정말 슬프시겠어요.
우리 가족은 서로 말을 안해.,가족끼리 소통이 적으시군요.
오늘 너무 속상해서 아버지랑 술 한 잔 했어.,얼마나 안좋은 일이 있으셨길래 아버님과 독대를 하셨어요?
다리 관절염 때문에 좋아하던 댄스도 못 하고 자꾸 살만 쪄서 짜증나.,좋아하는 댄스도 못 하고 살만 쪄서 짜증이 나시는군요.
지금 사귀고 있는 애인과 헤어지면 다시는 누군가를 사랑하지 못할 것 같아서 슬퍼.,지금 애인과 헤어지면 다시는 누군가를 사랑하지 못할 것 같아서 슬픈 상태군요.
이번에 직장에서 승진에 실패해서 실망스러워.,직장에서 승진이 안 되셔서 안타까운 마음이 드시겠네요.
건강해질 수만 있다면 지금 내가 가진 재산을 전부 줄 수 있어.,건강과 재산을 바꿀 만큼 건강문제로 슬프시고 고민이 있으시군요.
요즘에 고민이 하나 있어.,어떤 고민이에요?
새로 온 팀장이 남자 팀원들을 두고 나에게 일을 떠넘겨서 환멸을 느끼네,남녀 차별 팀장은 회사에 도움이 안 되요.
남편이랑 대화를 하고 싶어도 말이 통하지 않아서 힘들어.,남편과 대화가 잘 되지 않아서 힘드시군요.
나 너무 실망스러운 일이 있어.,무슨일이 있으신거 같군요.
이제껏 준비한 수능시험 다 망했어.,어느 정도로 망했나요?
아무리 노력해도 고령자는 이 사회에서 돈을 벌기가 힘들어.,고령자는 직업을 갖기 힘들어서 고민이시군요.
재정상태가 심각해지니 가족 간의 소통이 없어져서 너무 슬퍼.,어려워진 재정 형편 때문에 가족끼리 대화가 사라져 슬프셨군요.
나 대인기피증 생길 것 같아.,왜 그러세요?
딸이 시집을 가고 나니 집안이 텅 빈 것 같고 나 혼자 사는 기분이야.,딸의 빈자리로 허전함을 느끼시는군요.
내 나이 육십에 친구에게 배신을 당했어.,친구에게 배신을 당하셨군요.
내일 학교 안 가고 싶어.,학교에서 힘든 일이 있나봐요?
조금 더 주변 사람들 얘기에 귀를 기울일걸 그랬어.,주변 사람들 얘기를 허투루 들어 어떤 손해라도 봤나요?
본부장님께서 내일부터 회사에 나오지 말라고 하셨어.,절망적이겠어요.
요새 후회가 많이 돼.,무슨 일이 있으셨나요?
이번 면접은 완전 망한 것 같아.,열심히 준비하셨을텐데 많이 속상하시겠어요.
따돌림을 당하고 있는 친구를 위해 선생님에게 도움을 청했는데 아무런 효과가 없어.,선생님에게 많이 실망한 것 같군요.
친구랑 다툰 이후로 친구들이 날 피하는 느낌이라 속상해.,친구들과 잘 어울리지 못해 속상하셨나 봐요.
남편과 나는 이쁜 딸을 원해서 출산 준비도 다 딸아이 것으로 했는데 아들이야.,원하는 딸이 아닌 아들이라서 섭섭하시군요.
너무 비통해.,무슨 일이 있으셨나요?
젊어서 여행을 많이 다닐 걸 하는 후회가 들어.,왜 그런 후회가 드시나요?
내 인생이 비통하고 비참해.,큰일을 겪으셨나요?
부부관계는 아무리 좋은 조언을 해줘도 부부 당사자들의 문제이기 때문에 관여해서는 안 된다고 것을 알았어.,무슨 일이 있었나요?
관절 기능이 악화돼서 자리에서 일어나는 것조차 힘들어.,관절이 약해져서 거동에 어려움이 있으시군요.
우리 회사가 잘 되는 건 직원을 착취하고 베풀지 않아서라고 생각해.,회사가 직원을 착취하고 베풀지는 않군요.
요즘은 하루하루가 다른 것 같아.,어떻게 다른 것 같으세요?
이 유행병은 어차피 백신도 없으니 못 고칠 것 같아.,백신이 없어 유행병을 고치지 못할 것이라 생각하시는군요.
내가 하려는 일이 요즘 전망이 안 좋아서 걱정이 많아졌어.,하려는 일에 대해 불안하셔서 고민이 되시겠어요.
수시 지원한 대학에 떨어졌어.,그렇게 되어서 실망하셨을 것 같아요.
아내가 진 빚을 갚기 위해 결혼 후 낮에는 회사에서 일하고 밤에는 대리운전을 해야 했어.,밤낮으로 일하시느라 많이 힘드시겠어요.
최종합격 발표 났는데 떨어졌어.,아쉽게도 최종 단계에서 탈락하셨나 봐요.
무릎이 너무 아파서 당분간 운동은 쉬는 게 좋겠어!,무릎이 좋지 않아 운동을 당분간 안 하실 계획이군요.
내 딸한테 환멸나.,왜 그러세요?
요즘 코로나 때문에 친구랑 만날 수 없어서 속상해.,친구들과 만나지 못하셔서 속상하시군요.
공부해도 소용없어.,왜 공부해도 소용없어요?
