P,S
좋은 일이 생겨서 매우 기쁘네요.,요새 수준 높은 문제들이 잘 풀려 가고 었어.
나는 진로를 미리 결정 해놔서 이번 대학에 꼭 붙을거야.,대학에 붙는 것을 자신하는군요.
누나가 연예인이 되고 싶어 하는데 우리 가족은 누나가 안될 거라고 생각하지 않아.,가족들이 누나의 꿈을 긍정적으로 지켜봐주고 있군요.
엄마가 동생을 임신하셨대.,축하드릴 일이군요.
직장에서 스트레스를 받으면 마음이 진정되는 방법이 있을까?,직장에서 스트레스를 많이 받으시는군요.
예상치 못하게 승진을 하게 되어 주변 사람들에게 축하를 받아서 기쁘다.,승진 축하를 받아서 기쁘시군요.
나는 이번 건강검진결과가 너무 기대돼.,왜 그렇게 생각하시나요?
남편이 승진 기념으로 갖고 싶던 가방을 사줬어!,정말 좋으시겠어요!
나는 친구들한테 인기가 많아,친구들에게 인기가 많군요.
운동을 할려고 헬스클럽을 등록했어.,건강관리를 하시려고 헬스클럽을 등록하셨군요. 
내게 사기쳤던 박 사장이 구속되었어.,다행이에요.
며칠 전 병원 가서 받은 검사 결과가 오늘 나왔는데 아무 이상 없대.,정말 다행이에요.
이번에 드디어 남자 친구에게 프러포즈를 받았어!,남자 친구에게 프러포즈를 받아서 정말 기뻐 보여요!
지갑을 집에 놓고 와서 친구가 돈을 빌려 주었어.,친구가 돈을 빌려줘서 다행이시겠어요.  
몇일뒤에 수술해야해.,수술하셔야 하나요?
이제 자식들도 다 컸으니 부담을 덜고 여유를 가지라는 말을 들으니 심신이 안정돼.,심신이 안정된다니 정말 잘됐어요.
나를 괴롭혔던 친구들이 퇴학을 당하게 되었다,너를 괴롭혔던 친구들이 퇴학을 당했다니 조금은 마음이 편해졌겠구나
친구들하고 오랜만에 만났어.  ,친구들을 오랜만에 만나서 기분 좋으시겠어요.
이런 식으로만 성장한다면 다음 달엔 매출이 2배는 되겠어!,매출이 계속 오르고 있나 봐요.
나는 전부터 내가 만약에 늙어서 많이 아파가지고 자식들한테 피해를 주거나 부담을 주면 어떡하지 생각을 많이 했어.,근데 언니 엄청 건강하잖아요.
새 학년이 되어서 이 선생님 수업은 오늘 처음 들어보는데 잘 가르쳐주셔서 좋아.,선생님께서 잘 가르쳐주셔서 많은 도움이 되셨겠어요.
난 지금 병원에 입원해있어.,조금 더 자세히 말씀해 주시겠어요?
학교 시험에서 성적이 잘 나오지 않아도 아빠는 내가 잘할 수 있다고 응원해 주셔서 기뻐.,성적에 상관없이 응원해 주셔서 기쁜 마음이 들었나봐요.
나 오늘 진급해서 너무 신이나.,진급 소식에 기분이 좋으시군요.
내가 오 년째 팀장을 맡은 우리 팀이 있어.,팀장 직책을 맡고 계시네요.
지금 결혼한 삶이 난 너무 행복해.,지금 많이 행복하신가요?
부모님께서 얼른 취직하라고 성화라서 귀찮아.,아직 취직할 마음이 안드시는군요.
이번 시험에서 점수가 떨어져서 우울했는데 엄마가 응원해줘서 나아졌어.,힘든 일이 있을 때 엄마가 응원해주셔서 힘이 났겠네요.
오늘 날 괴롭히던 친구가 선생님께 된통 혼이 났어.,그래서 기분이 어떠셨어요?
윗집에 사는 총각은 우리 노부부의 안전을 언제나 중요하게 생각하고 있어.,총각이 사용자님 부부를 잘 챙겨주는군요.
재정에 대해 느긋하게 생각하려고.,어떤 면에서요?
나 결혼해.,결혼하신다니 기분이 어떠세요?
친구들이 오늘 내 뒷말 하는 소리를 들었어.,어떠한 기분이 들었나요?
나는 노인정에서 제일 건강하다고 자신할 수 있어.,정말 부러워요.
오늘 건강검진을 했는데 결과가 너무 좋아서 행복해.,어떤 결과가 나왔는지 자세히 이야기해주실 수 있을까요?
우리 담임선생님에게서는 배울게 많은것 같아.,그렇게 느끼신 계기가 있으셨나요?
드디어 나 취직했어!,진심으로 축하드립니다.
주말에 아무 것도 안 하고 아내랑 반신욕하며 쉬다보니 건강이 많이 좋아졌어.,건강이 많이 좋아졌다니 정말 다행이에요.
임원까지 하고 은퇴하게 되어서 다행이야.,목표를 이루어셨나봐요?
내 은퇴준비는 완벽해.,그렇게 생각하시는 이유가 있나요?
나 오늘 학교에서 시험을 잘봐서 너무 만족스러워.,비결이 무엇 인가요?
사교적인 성격을 지니셨군요.,응 누구든지 나와 친하게 지낼 수 있지.
요리가 취미인 친구가 있어서 너무 좋아.,어떤 점이 좋으세요?
여자 친구에게 결혼 약속을 받았는데 마음이 평안해졌어.,결혼 약속을 받아서 기쁘시겠어요?
디스크를 치료받을 동안 딸이 우리 부부 카드 값을 대신 내주기로 해서 정말 다행이야.,디스크를 치료받을 동안 딸이 카드 값을 대신 내주기로 해서 정말 다행이네요.
나는 우리 부부가 세계 제일 금실 좋다고 자부해.,부부관계가 굉장히 돈독하신가봐요.
나 이번에 기말고사 성적올랐어!,이번에 시험이 성적이 오르셨다니 기분이 좋으시겠어요.
지금도 잘되고있지만 난 우리회사가 더 성장한다고 믿어.,다니시는 회사를 엄청 신뢰하시나봐요.
역시 혼자 있을 때보다 가족끼리 있을 때가 느긋하고 편해.,어떤 점이 혼자 있을 때보다 가족끼리 있을 때가 느긋하고 편한가요?
병원에서 익명의 후원가가 내 수술비를 지원해줬어.,많이 놀라긴 하셨겠지만 감사하시겠어요.
매일 혼자 공부하다가 친구들과 스터디를 했는데 공부가 재미있어.,혼자 하다가 같이하니 신나시겠네요.
오늘 오래 전 고향 친구랑 연락이 닿았어.,친구분과 오랜만에 연락을 하셔서 기분 좋으셨겠어요.
복권에 당첨돼서 노후에는 도시를 떠나 시골에서 유유자적 살 수 있겠어!,시골의 편안함을 좋아하시나봐요.
요즘 자녀들과 사이가 안 좋다는 부모들이 많던데 우리는 괜찮은 것 같아.,자녀분들과 사이가 좋으신가 봐요.
내 나이가 백 세인데도 잘 먹고 잘 걸어다니고 있어.,몸이 건강하셔서 기분이 좋으시겠어요.
여유로운 말년을 위해 준비해둔 나를 모범으로 삼는 후배들이 많은 걸 보면 인생을 잘 살았어.,후배들에게 존경을 받아 뿌듯하시겠어요.
연애는 천천히 해도 된다고 생각해.,그렇게 생각하시는 이유가 있나요?
매번 출퇴근 시간이 많이 걸려 스트레스 받았는데 이번 회사는 집과 가까워 좋네.,출근시간이 단축되면 힘도 덜 들고 좋죠.
몸이 아픈 나에게 교회 친구가 아무런 말도 없이 돈을 쓰라며 주더라고.,친구의 무심하지만 따뜻한 마음이 느껴져요.
퇴직금이 정산 돼서 나왔어.,은퇴를 하셨군요.
오늘 주택복권에 당첨 되어 너무 기뻐.,복권에 당첨됐군요.
일이 요즘 너무 많아서 오늘은 불가피하게 아끼는 후배에게 마무리를 부탁하고 나왔어.,마무리를 부탁할 정도로 친하고 신뢰하는 후배가 있으신 것 같아요.
낚시 오랜만에 하니 좋았네.,낚시를 오래간만에 즐기셔서 기분이 좋으시군요.
환갑이 넘어서 병원비가 들지 않는것에 감사해.,나이가 드셨어도 건강을 유지 하시는군요?
요즘 공부를 열심히 한다고 선생님께 칭찬받았어.,선생님에게 칭찬받았다니 정말 기분이 좋으시겠어요.
오늘 은행에 가서 통장 잔고를 확인하고 왔어.,만족스러운 잔고가 들어 있었나요?
수영장에서 같은 레인의 회원들과 시합을 했는데 내가 일등 했어.,다른 회원들보다 수영을 잘하시는군요.
내 건강에 신뢰가 생겼어.,무슨 일이 있나요?
나이가 들어도 돈이 많아서 좋다.,구체적으로 어떤 부분이 좋으신가요?
딸이 나한테 자기 방에 들어 말라고 했어 그래서 머리 끝까지 화가 났어.,화가 많이 나셨군요.
내 동생이 여자 친구가 생겼다며 좋아하니 나 또한 신이 난다.,동생분이 좋아하시겠어요.
내일부터 국민연금이 나온대.,내일부터 나오나요.
이번에 우리 아들이 드디어 결혼 날짜를 잡았네.,아드님의 결혼 소식에 기분이 좋으시군요.
노력한 만큼 성과를 얻을 수 있어서 만족스러워.,성과를 얻을 수 있었다니 좋았겠어요.
자녀들이 불편한 아내를 위해 가사 도우미를 지원해줘서 생활이 그나마 편해졌어.,자녀들이 가사도우미를 지원해주셔서 한결 편안하시겠어요.
좋아하는 여자애를 어떻게 대해야 할지 몰라 난처했는데 누나가 자기 일처럼 대해주고 조언해줬어.,누나가 자기 일처럼 조언을 해주어서 매우 좋으시겠어요.
남편은 항상 출근 전에 사랑한다고 말해주는 걸 보면 아직도 날 정말 사랑하는 것 같아.,남편 분의 사랑을 확신하시는군요.
호흡기 질환이 호전되면 아내와 고향으로 내려가 살기로 했어.,고향으로 내려가기로 하셨군요.
아직 신혼인 친한 친구가 아이를 낳게 되면 나처럼 키우고 싶다고 했어!,친한 친구 분께서 아이를 낳고 본인처럼 키우겠다고 해서 기쁘겠어요.
오늘 너무 좋은 일이 있었어.,어떤 좋은 일이 있으셨죠?
요즘 친구랑 사이가 좋아.,어떻게 그렇게 되셨나요?
자식 교육은 부부가 같이해야 하는 거 아니야?,무슨 일이세요?
이번 신입 직원이 너무 친절해.,신입 직원이 친절하시군요.
경로당에 친구가 며칠동안이나 나오지 않아서 걱정했어.,친구분에게 무슨일이 있으셨나요?
나 오늘 지나가다가 첫사랑을 만났어.,첫사랑을 만나서 설레셨겠어요.  
만성질환이 있어도 난 느긋해.,무엇 때문에 느긋 하신가요?
남자친구가 그동안 나와의 약속을 하나도 빠짐없이 모두 지키고 있었더라.,약속을 지켜왔다는 사실만으로도 감동적이네요.
남편이 결혼기념일 선물로 현금 백만 원을 줘서 너무 놀랐고 정말 좋아.,선물로 현금 백만 원을 받아서 좋으시겠어요.
내가 노후 자금을 미리 마련해두었던 것이 너무나도 다행이어서,노후 자금을 미리 마련해두어서 기쁘시군요.
다음주부터 매주 친구들하고 모임을 하나 하기로 해서 너무 기뻐.,어떤 모임인지 여쭤봐도 될까요?
노후준비를 생각하면 마음이 조급해져.,왜 그런 생각을 하는 거예요?
아파서 기분이 우울했는데 직장 동료들이 병문안을 와줘서 고맙고 기운이 나.,병문안을 와준 직장동료들 때문에 기쁘시겠어요.
오늘 건강검진 받았어.,결과가 어찌나 왔나요.
갱년기로 많이 힘들어하던 아내가 지금은 많이 편안해 보여서 참 다행이야!,갱년기로 많이 힘들어하던 아내가 지금은 많이 편안해 보여서 참 다행이라 생각하시는군요.
우리 가족 모두 집안 형편에 보태려고 노력하는 모습이 너무 좋아.,가족의 모습이 만족스러우시겠어요.
비뇨기과 검진 결과 모두 정상이라고 나와서 너무 다행이야.,정상이라고 하니 정말 다행이에요.
연말에는 내가 우수사원이 될 것 같아.,올해는 업무 성과를 많이 내셨군요.
천천히 나이들어가면서 함께할 이웃 노인이 있어서 좋아.,기쁘시겠어요.
회사 동료들이랑 팀워크가 좋아서 일이 술술 풀리고 있어.,팀워크 좋은 동료들과 함께해 기분이 좋으시겠어요.
요즘 가족 사이가 만족스러워.,왜 그렇게 느끼세요?
내일 가족과 여행을 갈 생각에 벌써부터 신나네.,즐거우시겠어요.
내 건강상태에 대해서 늘 피하기만 했었는데 아무 이상이 없는 것을 확인하니 마음이 한층 놓여.,언제나 건강하신 모습으로 지내셨으면 좋겠어요.
남편은 저에게 비밀이 없는 것 같아 믿음직스러워,저도 부부간에 가장 중요한 것은 신뢰라고 생각해요!
요새 너무 만족스러워.,그렇게 생각하시는 이유가 있나요?
평소 남편과 싸울 일이 없는데 위층의 층간소음 때문에 관리사무실에 가야 할지 말지를 말다툼을 벌였어.,층간소음 문제로 남편과 말다툼이 있었군요.
오늘 아침에 아시는 분으로부터 스카우트 제의를 받았어.,스카우트제의를 받으셨다니 많이 바라시던 일이세요?
이번 시험에서 일등 할 것 같아!,흥분될 만큼 좋으신가 봐요.
나의 특기와 장점에 대해 많이 고민한 결과 진로에 대해 확신이 생겼어.,벌써 진로를 결정했다니 대단해요.
돈이 필요했는데 친구가 빌려주게 되서 안도했어.,좋은 친구분을 두셨군요.
오늘은 감사한 날이야.,무슨 일이 있으셨나요?
오늘 정말 좋은 일이 있었어!,무슨 일이 있으셨나요?
요즘 학교에 다니는 게 즐거워.,학교에 다니시는 게 즐거우시군요.
내가 오늘 현재 재정으로 노후 설계를 받았는데 아주 마음에 들어서 기뻐.,오늘 노후설계를 받으셨는데 마음에 들어서 기쁘시겠어요.
드디어 내일인가.,내일 무슨일 있으신가요?
그동안 열심히 일해서 모은돈으로 노후준비를 할수 있어서 다행이야.,노후준비가 걱정이 없으시군요.
친구가 주식으로 망했다고 하는데 난 그나마 다행이야.,어디 확실히 믿을만한 구석이 있으신가봐요?
어제 아기 낳고난 후로 축하 메세지가 엄청나게 오고 있어.,다들 축하해주니 감사해서 어찌할 바를 모르겠네.
취업하고 싶은 직장을 정했어.,많은 준비가 필요할텐데 힘드시겠어요.
오늘 병원 의사를 만나서 건강상담을 했는데 건강 유지하려면 꾸준히 운동만 하면 된다니 기분이 좋아.,건강상담에서 운동만 꾸준히 해도 건강이 계속 유지될 거라고 하니 기쁘겠어요.
이번에 우리 딸이 생각해낸 과제물이 좋은 결과를 얻었어.,따님이 열심히 연구해서 실행한 것이 결과물이 좋아서 마음이 즐거우시겠어요.
옆집 숙이엄마는 건강챙긴다고 이것 저것 막 먹는데 오히려 나보다 건강이 안좋아.,몸이 많이 튼튼하신것 같아요. 정말 기쁘실것 같아요
요즘 건강이 점점 좋아지나봐.,기분 좋으시겠어요.
다음에도 즐거운 시간 보내시길 바랄께요.,오늘 부모님께서 집 청소를 잘해놓았다고 칭찬해주셨어.
딸 아이가 친구와 다투게 되었다고 화가 난 상태로 나한테 얘기하더라고.,아이가 친구와 다투어 속상했나 보네요.
엄마가 부당해고를 당했는데 내가 소송을 걸어서 엄마가 다시 복직하게 되었어.,부당해고를 당한 어머니의 문제를 해결해 주셨네요.
요즘 부모님 얼굴이 좋아지셨어.,부모님 얼굴이 좋아지셨다니 무슨 좋은 일이 있으셨나요?
나 이번 건강검진에서 그동안 속 썩였던 위궤양이 말끔히 없어졌다고 하네.,위궤양이 없어져서 기쁘시군요.
내가 무엇을 하고 싶은지 찾은 것만으로 지금은 만족해.,하고 싶은 일을 찾아서 만족스러우시군요.
나를 때렸던 친구에게 사과를 받아서 정말 기뻐.,친구와 어떤 일이 있으셨군요.
그 동안 애들 뒷바라지 하느라 바쁘게 지냈는데 이젠 남편과 시간이 많아서 여유로워.,자식들이 독립하고 나니 시간이 많이 생겨 마음이 여유로우시겠어요.
오늘 가고 싶은 회사 면접을 봤어.,중요한 면접을 보고 오셨군요.
대인관계가 잘 진행이 되어 안도감을 느껴.,대인관계가 원하는 대로 진행이 되어 안도하고 있군요.
불면증이 심했는데 마누라가 베개를 바꿔줬는데 잠을 잘 자네.,잠을 잘 주무신다니 다행이네요.
회사에서 내 의사를 굉장히 잘 반영해줘서 신이 나.,의사를 존중해줘서 기분이 좋으시군요.
나 이번 시험성적 잘 나올거같아.,공부를 열심히 하셨나봐요.
드디어 내일인가.,내일 무슨일 있으신가요?
내일부터 휴가받아서 너무 신나네.,휴가 계획이 어떻게 되시나요?
친구들과 잘 어울리지 못하는 친구에게 다가가는 너무 힘들다.,외톨이 친구와 잘 지내보려고 노력하는 중이군요?
요새 학교에서 따돌림이 생겼다더라.,학교폭력에 대해 어떻게 생각하세요?
아내와 같이 건강 검진을 받았는데 아무 이상 없이 건강하다고 해서 만족하고 있어.,평소에 건강을 잘 챙기셨나 봐요.
노후자금을 빌려줬던 친구가 뒤늦게 돈을 갚아서 다행이야.,친구 분이 뒤늦게라도 돈을 갚아서 정말 다행이네요.
오늘 절반 이익 실현했어!,어떤 것 말씀인지요?
나 너무 흥분돼.,좋은 소식이 있으신가요?
입원을 해야 하는데 돈 걱정부터 났는데 남편이 나보고 돈 있으니 걱정 말라고 하더라.,그런 남편이 곁에 계시니 맘이 든든하시겠어요.
복지관 사람들의 성격이 모두 좋아서 가끔 들리면 참 편해.,편안한 복지관 사람들 덕분에 기쁘시겠어요.
외국에 사는 동생이  와서 너무 기뻐.,오래간만에 오셨나요?
난 주변에 사람이 없을까봐 걱정되는 일이 없어.,대인관계에 있어서 마음이 느긋하신것 같아요.
이번에 내 주식이 올라서 재정 상태가 좋아졌어.,주식이 올라 기쁘신가 보네요.
나도 참 그동안 힘들게 살았어.,그렇지요 수고 많으셨어요.
이번에 각 부서대표로 발표자에 뽑혀서 몹시 떨려.,대표로 발표자에 뽑히셨다니 무척 떨리시겠어요.
시집갈 때까지 잘 키워주신 부모님께 감사해,부모님이 잘 키워주셔서 감사한 마음이 드는군요.
이제 아이도 어느 정도 컸고 내가 할 일은 거의 다 했다고 생각해.,조금 여유가 생기셨나 보네요.
성적이 생각보다 너무 잘 나왔어.,정말 기분 좋으시겠어요.
내가 치매 진단을 받았다고 얘기하면 아들이 같이 살자고 할 거야.,치매 진단을 받으면 아들이 같이 살자고 할 거라고 생각하시는군요.
옛날부터 건강을 잃을까 염려했지만 지금 누구보다도 건강하게 지내고 있어.,그때의 염려가 지금의 행복을 만들었나봐요.
노후준비가 끝나니 정말 편안해.,어떻게 끝내셨나요?
오늘 오랜만에 친한 친구들과 만나기로 했어.,친구들을 오랜만에 만나게 되었군요.
이십오 년을 한 직장에서 장기근속하니 업무 숙련도도 높고 업무 처리 능력도 뛰어난 것 같아.,정말 오랜 시간 동안 한 직장에서 근무하셨군요.
오늘 딸이 드디어 취업했어.,따님이 취업에 성공했군요.
오늘부터 하루하루 신날 거 같아.,무슨 일 때문에 그렇게 신이 나시나요?
친구가 삼십 분 늦었다고 엄청 미안해하길래 괜찮다고 웃어줬어.,삼십 분이면 화낼만도 한 상황아닌가요?
군대가있던 남자친구가 이번 가을에 드디어 제대하게 되었어.,축하해요 드디어 자주 볼 수 있게 되었네요.
아 진짜 정말 짜증 난다.,무슨 일이신가요?
건강검진 결과가 좋게 나와서 기분이 좋아.,건강관리를 잘하셨나 보네요.
퇴직금 덕분에 돈 걱정을 안 해도 돼서 편해졌어.,돈 걱정을 안 해도 돼서 편해지셨군요.
회사에서 큰 프로젝트가 있어서 준비할 때는 굉장히 힘들었지만 성공적으로 끝나서 너무 만족스러워.,회사에서 프로젝트를 성공적으로 수행하셔서 만족감을 느끼고 계시는군요.
은퇴나 노후준비는 자신 있게 잘 되어 있다고 말할 수는 없는 상황이야.,얼마 정도면 만족하실 수 있으실까요?
몇 년 동안 아이가 없어서 걱정이 많았는데 이번에 병원에 갔더니 임신을 했다는 거야!,임신을 해서 기쁘신 것 같아요.
젊어서부터 건강식품을 꾸준히 챙겨먹었더니 건강에는 자신 있어.,건강에 대한 자신 있는 모습이 보기 좋아요.
사람들이 예전에는 아이가 없는 나를 가엾게 봤는데 지금은 내가 그들보다 경제적으로 더 여유 있어.,지금은 아이가 없어서 여유로우시군요.
딸의 남자친구를 만났는데 너무 괜찮았어,믿고 맡겨도 될 남자였나요?
내 재정 상태가 만족스러워.,어떤 부분이 만족스러우세요?
직장에서 우리의 관계가 들켰을 때 정말 마음 졸였는데 아무도 비난하지 않고 격려해줘서 기뻤어.,관계가 들켰음에도 아무도 비난하지 않고 오히려 격려해줘서 기쁘셨겠어요.
시험이 어려웠는데도 점수를 잘 받아서 너무 좋아.,시험을 잘 치셔서 정말 기쁘실 것 같아요.
요즘은 아주 사는게 기분이 좋아.,무슨 좋은 일 있으신가 봐요.
내가 원하는 곳으로 부서를 옮기자 훨씬 생산적인 일을 하는 것 같아.,생산적인 일을 하시다니 기쁠 것 같아요!
우리 아들이 학교 다닐 때 매일 친구들을 집으로 데리고 와서 놀았어.,아들과 친구들이 매일 집으로 왔군요.
내가 정한 전공이 앞으로도 발전가능성이 높다고 해서 다행이야.,선택한 전공에 만족해하는 군요.
평소에 나를 괴롭히던 무리가 갑자기 사과하면서 이제 친하게 지내자고 했어.,괴롭히던 사람들이 앞으로 친하게 지내자고 했군요.
아내에게 깊이 감사하고 있어.,대인관계에 감사함을 느끼시는군요.
우리 전공 교수님의 수업 내용이 너무 알차고 도움이 많이 되어서 좋아.,수업 듣는 시간이 정말 행복하시겠네요.
어버이날에 나에게 카네이션을 달아주는 아이들의 모습에 보람을 느껴.,카네이션을 달아주는 아이들의 모습에 보람을 느끼시는군요.
나는 이번 피트니스 대회에서 우승을 확신해.,피트니스대회 얼마나 준비하셨어요?
후배가 유능해서 전적으로 신뢰하고 있어.,후배가 신뢰할 만하다니 대단한 걸요.
오늘 교수님한테 너무 감사했어.,교수님이 어떤 일을 해주셨나요?
나 기분이 너무 좋아.,왜 기분이 좋나요?
이번에 배우자와 함께 산부인과에 방문했어.,무슨 일 때문에 방문하셨나요?
이번 시험은 진짜 잘 본거 같아.,시험을 잘 보았다니 축하드려요.
첫 무대인 공연을 실수 없이 마쳐서 크게 안도하고 있어.,공연을 무사히 마쳐 안도감을 느끼고 있군요.
코로나로 힘든 시기지만 내가 가진 것들에 대해 감사한 마음이 들어.,어려운 사회경제적 상황에서 감사하는 마음을 가지게 되었군요.
요즘 운동을 열심히 했더니 기분이 항상 상쾌해.,기분이 상쾌하시다니 너무 좋으시겠어요.
회사에서 지시한 어려운 문제를 해결해서 기뻐.,회사에서 지시한 어려운 문제를 해결해 기쁘시군요.
왜 부모님은 나를 심하게 다그치시는 거지?,부모님과 어떤 갈등이 있었나요?
다른 이의 도움 없이 나쁜 친구들의 괴롭힘을 이겨낸 내가 대단히 만족스러워.,사용자님 자신이 무척 자랑스러우시겠어요.
행복해보이셔서 좋아요.,내 친구들과 말다툼을 하고 와서 흥분이 가라 앉지 않아.
오늘 친구들과 골프를 쳤는데 내가 제일 잘쳤어.,골프를 잘치시는군요.
지금까지 날 괴롭혔던 친구들 내가 학교에 신고해서 정학 보냈어.,자신을 괴롭히단 친구들을 정학보내니 어떤 기분인가요?
내 나이가 육십인데 건강검진 결과가 오십 대로 나와서 너무 기뻐.,건강검진 결과가 나이보다 젊게 나오셔서 기쁘시군요.
나 횡재했어.,무슨 좋은 일이 있으셨나요?
코로나 때문에 기대 안 했는데 이번에 오픈한 가게가 정말 수익이 많아.,기대하지 않은 실적이 나와서 무척 신나시겠네요.
안도감이 들어.,그렇게 생각하시는 이유가 있나요?
우리 가족처럼 관계가 좋은 가족은 없을 거야.,그렇게 생각하는 이유가 무엇인가요.
등산 갔다가 끝나고 사우나에 가는길이야.,다녀오시면 게운하시겠어요.
비혼이라서 은퇴 후 재산관리가 걱정이야.,비혼이라서 스스로 관리를 다 하셔야 하는군요.
단짝으로 붙어 지냈던 학교동기가 군대를 전역하고 이번 학기에 복한한다고 하네,친구가 복학을 하면 같이 학교에 다니게 되어 매우 기쁘시겠어요
올해는 일처리를 많이 해서 고과가 잘 나올 걸로 확신해.,올해 업무량이 상당하셨군요.
새로 맞춘 최신형 가발이 정말 자연스러워서 사람들은 눈치채지 못할 것 같아 기분이 좋아.,새로 맞춘 가발이 자연스러워서 다른 사람들은 모를 것 같아 기분이 좋으시군요.
오늘 담임선생님과 진로에 대해 상담을 했어.,진로 상담을 통해 원하는 결과를 얻었나요?
지금까지 많은 사람과 있어봤지만 역시 가족들과 함께 있는 게 가장 좋아.,조금 더 자세히 말씀해 주시겠어요?
등산을 하게 되면서 성격도 조금 차분해지고 체력도 많이 좋아졌어.,등산하면서 좋은 효과를 보셨다니 정말 잘됐어요.
난 우리가족이 너무좋아.,어떤점이 좋으세요?
돌아가신 부모님이 물려주신 재산 덕에 잘 살고 있어.,부모님 덕분에 행복한 생활을 하고 계시는군요.
누군가에게 만족을 줄 수 있다면 얼마나 좋을까?,무슨 일이 있으셨어요?
오늘 건강 검진을 받았는데 역시나 건강 하다더군.,결과가 좋아서 기분이 좋으신가봐요.
폴더폰을 쓰다가 얼마 전 스마트폰으로 바꿔서 카톡을 보내자 아들이 칭찬해 주어서 기뻐.,카톡을 보고 아들이 칭찬해 주어서 기쁘셨겠네요.
오늘 아들에게 한 마디 좀 해야겠어.,아들을 혼내시려는 이유가 무엇인가요?
아파서 늘 집에 있지만 자식들과 남편 덕분에 걱정 없이 살고 있어.,아픈 몸이지만 가족들 덕분에 걱정 없이 살고 계시는군요.
아내가 모르는 남자랑 너무 친해서 바람을 피우는 줄 알았는데 사촌오빠여서 안심했어.,아내가 바람을 피우는 게 아니라 다행이네요.
병이 나았다니 다행이야.,저도 축하드립니다.
노후를 위해서 오늘 연금보험을 가입했어.,노후를 위해 연금보험에 가입하셨군요.
남편과 아이들과 함께 하는 요즘이 난 너무 행복해.,결혼생활이 만족스러우시군요.
난 우리 가족을 정말 믿어.,가족들을 믿으시는군요.
그 아이를 다시 안 본다고 생각하니 기분이 너무 좋아.,어떤 부분이 기분이 좋으신 건가요?
회사의 윤 과장은 정말 업무를 잘 처리해.,능력 있는 동료와 근무해서 든든하시겠어요.
선생님들이 안 계셨다면 난 학교 어떻게 다녔을까?,선생님들은 정말 고마우신 분들인 거 같아요.
몸의 건강이 오래 전보다 훨씬 좋아졌어.,몸의 건강이 좋아졌다니 다행이네요. 
지금 사귀는 남자친구와 잘 만나고 있어서 만족스러워.,정말 만족스러우신 것 같아요.
요즘 직장 생활이 만족스러워.,기분 좋으시겠어요.
이번에도 성적이 잘 나올거라 생각해.,그렇게 생각하시는 이유가 있나요?
오늘 저녁에 초등학교때 친구랑 만나기로 했어.,오랜만에 친구분을 만나셔서 신나시나봐요.
요즘 아파서 병원에 있었어.,몸이 아팠다니 많이 힘드셨겠어요.
오늘 내 동생이 태어났어.,동생이라니 저도 기쁩니다.
잊고 있었던 주식이 올라 너무 기쁘네.,많이 오르셨어요?
학교 폭력 상담 센터 분들이 모두 나를 다정하고 조심스럽게 대해 주셨어.,상담 센터 분들이 다정하고 조심스럽게 대해 주셨다니 정말 다행이에요.
오늘 학교에서 학교폭력을 목격했어.,목격하고 어떻게 하셨나요?
주말에 아이들과 시간 좀 보내야겠어.,많이 옆에 못 계셨나 봐요.
아들이 편하게 다니라고 이동기구를 사줘서 이제 어디 갈 때도 느긋하게 갈 수 있겠어.,이동기구를 타면 느긋하게 다닐 수 있을 것 같아요.
중간정산한 퇴직금으로 주식투자를 했는데 정말 큰돈을 벌어서 너무 흥분돼.,주식투자를 잘하셔서 정말 기쁘실 것 같아요.
오늘 따돌림 당하는 같은 반 친구를 도와줬어.,따돌림 당하는 친구를 도와주셨다니 좋은 일이네요.
이번 과제물 에이 학점 받았는데 좋은 점수 받기 어렵기로 소문난 교수님이라 더 뿌듯하고 신나.,제출한 과제물로 좋은 학점을 받으셔서 참 기쁘실 것 같아요!
퇴직 후에 가입한 배드민턴 동아리에서 만난 사람들이 다들 친절해서 좋아.,좋은 동료를 만나는 것 만큼 기분 좋은 일은 없는 것 같아요.
결혼 상대가 편안해.,왜 그러세요?
힘들게 취업해서 너무 기쁘고 흥분돼.,노력이 결실을 보아서 기쁘시군요.
학교에서 애들이 날 무시하고 따돌려.,친구관계에서 어려움이 있으시군요.
내 주변 사람들때문에 오늘 너무 흥분했어.,왜 그러세요?
매일 보는데도 너무 좋고 행복해.,행복한 신혼생활을 하신다니 부러워요.
아직 정년이 많이 남아서 아직 노후걱정은 안해.,여유로움이 느껴져요.
만성디스크때문에 운동을 시작한지 한달이 자나가는데 효과가 굉장해.,역시 운동의 효과는 대단하네요.
내일 나 가족여행 가.,좋겠네요 여행 준비는 다 하셨나요?
은퇴하고 아픈 곳이 없어.,그럼 정말 다행이군요.
건강관리를 잘해 스스로 뿌듯해.,건강관리를 잘 하셨나 보네요.
나를 좀 도와줄 수 있을까?,제가 뭘 도와드릴까요?
우리 부부는 서로 믿고 신뢰하고 있어서 큰 문제 없어 .,모두가 부러워 할 일이네요.
새로 온 간호사가 어르신들에게도 친절하고 실력도 좋은 거 같아.,새로운 간호사가 매우 친절하고 실력이 좋아 매우 믿음이 가시겠어요.
남편이 일에 지친 내게 힘내라고 용돈을 주어서 날아갈 것 같아.,회사 일에 지쳤을 때 용기를 주는 용돈을 받아 행복하군요.
