P,S
나의 진로를 어떻게 다시 정해야 할지 모르겠어.,충격받은 마음 추스리시고 다시 심기일전 하시기를 바랄게요.
회사 생활만 하다 보니 사회에서 아는 사람이 많이 부족한 것 같아.,사회에서 아는 사람이 많이 부족 하신 것 같군요.
아들이 돈을 빌려달라네.,아드님께 기대하신만큼 속상하시겠어요.
남편이 요즘 뚱뚱하다고 잔소리를 자주해.,뚱뚱하다고 해서 많이 속상하시겠어요.
이렇게 중요한 일에도 또 실수를 하다니 너무 당황스러워.,무슨 일로 당황스러우셨는지 조금 더 자세하게 말씀해 주시겠어요?
직장생활을 한 지 얼마 안 됐는데 내가 생각한 거랑 너무 달라.,기대와는 다른 직장생활에 혼란스러움을 느끼시네요. 
우리 반에 학교폭력을 당하는 친구가 있는데 어떡하지?,그 친구를 도와주고 싶으신 거예요?
건강에 열등감이 있어.,무슨 일인가요?
곧 좋은 사람이 나타날 거예요.,결혼하고 아내에게 좋은 거 한번 해준적이 없는 것 같아 죄책감이 들어.
철수만 보면 왜 이렇게 얼굴이 빨개지지?,철수씨 앞에서 부끄러워하시는 것 아닌가요?
현재 대학에 와서 뭘 배우는지 잘 모르겠어.,고등학교 때와는 많이 달라져서 힘드시군요.
혼자서 아파트에 같혀있으니 너무 답답해.,답답한 거 말고 아프신데는 없으세요?
친구들과 잘 어울리지 못해 고민이야.,친구들과의 관계과 원만하지 않아 고립감이 큰가 봐요.
가족관계가 혼란스러워.,왜 그러세요?
연애를 하면서 여자친구에게 시간을 쏟을수록 동성친구들과는 사이가 멀어져서 고민이야.,여자친구에게 시간을 쓸수록 동성친구들과는 멀어지는 것 같아 고민이 많겠어요.
오늘 산부인과에 검진받으러 가는데 며느리가 같이 가준다 하는데 좀 부끄러워,며느리가 같이 가서 조금 신경 쓰이시겠어요.
돈을 많이 모아둘걸 그랬어.,왜 그러세요?
기침 때문에 병원에 갔더니 폐렴이래 진작에 가볼걸.,지금이라도 늦지 않게 병원에 가서 다행이에요.
이번에 주식투자를 시작 해보려고해.,주식투자를 고려중이시군요.
나 건강검진을 받아볼까 해.,어디 불편한 곳이 있으신가요?
한심하다고 느끼셨나보네요 어떻게 그 마음을 바꿀수있을까요?,아무래도 진지하게 대화를 나눠봐야겠어.
요새 너무 혼란스러워.,무슨 일이 있으셨나요?
오늘 아침에 갑자기 일어서는데 빈혈때문에 어지러워서 넘어질뻔해서 당황했어.,평상시에도 빈혈때문에 불편한 적이 있으신가요?
무슨 일 있으세요?,내 친구가 따돌림 당하는 친구랑 같이 다니려 해서 시선을 의식하게 됐어.
대인관계에 당황했어.,왜 그러세요?
가장 친한 친구가 나랑 다른 진로 분야를 선택해서 너무 속상하고 외로워.,친한 친구가 다른 진로 분야를 선택해서 속상하겠군요.
요즘 학교 다니기가 너무 싫고 소외당하는 느낌이야.,혹시 어떤 일이 있었는지 말해 줄 수 있나요?
주민센터에서 주최하는 경제 세미나에 참석했어,강좌가 도움이 되셨나요?
편하다고 배달음식이나 즉석식품을 먹거나 외식하는 아들내외를 보면 한심해 보여.,아들내외의 행동이 한심하게 느껴지셨군요.
엄마는 나한테 공부만 하라고해.,공부만 하는게 싫으신가요?
재정이 넉넉하지가 않아.,왜요?
주변 친구들이 죽음에 대해 진지하게 대비하고 있어서 갑자기 당황스러웠어.,생각해 보지 못한 부분이라 갑자기 당황스러우셨군요.
언니가  직장을 또 그만뒀어.,언니분의 근속하지 못하는 성격이 걱정스러우신가봐요.
요즘 들어서 주변 사람들을 의식하면서 말하는 것 같아.,주변 사람들을 의식하면서 말하는 버릇이 생기신 것 같군요.
어제 계단을 올라가다 다리에 골절상을 입었어.,다리를 많이 다치신 것 같네요.
내가 육천만원이 있는데 누구를 줘야하지.,돈에 대해 고민이 있으시군요.
친한 친구가 나한테 욕을 해서 너무 당황스러웠어.,조금 더 자세히 말해줄 수 있어요?
회사에서 상사가 나한테 남자 친구가 있냐고 물어봐서 당황스러워.,조금 더 자세히 말씀해주시겠어요?
엄마한테 또 전화하냐,엄마한테 전화하는게 불편하신가요
일하다 보면 야근도 하고 특근도 하잖아.,야근 특근 때문에 힘드시나요?
오늘 내가 실수를 해서 과장님이 대신 사장님께 잔소리를 들어서 죄책감이 들어.,실수 때문에 과장님이 대신 혼나셔서 그런 마음이 드셨나 봐요.
우리 아이가 들어서는 안 되는 참으로 부끄러운 행동을 했어.,어떤 행동인가요?
사무실 옆자리 남직원이 나를 좋아하는 것 같아.,그렇군요.
다음 달에 결혼을 하는데 생각보다 하객이 너무 적을 것 같아서 당황스러워.,하객이 생각보다 적어서 당황스러우시군요.
앞으로 노후준비를 위해 은퇴 자금을 마련해야겠어.,노후준비를 위해서 돈을 모으시려는 건가요?
오르지 명문대만 생각하는 우리 부모님이 혐오스러워.,부모님이 명문대 만 생각하시나요.
해가 갈수록 나이는 먹어가는데 노후를 대비하지 않았던 과거의 나 자신의 경솔함이 혐오스러워.,노후를 대비하지 않은 과거의 행동을 후회하시는군요.
출산이 처음이라 당황스러운 것 같아.,마음이 좀 당황스러운가 보군요.
요즘 진로문제로 걱정이 많아 취업을 할 수 있을까 모르겠어.,진로문제로 혼란스러우신가봐요 마음이 힘드시겠어요.
건강에 열등감이 들어.,왜 그러세요?
어제 물건 구입하신 분이 환불해 달라고 연락이 왔었어.,고객의 갑작스러운 환불 요구에 무척 당황했겠네요.
엄마가 공부 잘 하는 애들을 자꾸 소개시켜주려고 해서 당황스러워.,엄마 때문에 당황스럽겠네요.
우리 가족들은 왜 항상 나에게 관심이 없는걸까?,가족들이 관심이 없다고 느껴서 현재 기분이 안 좋아보이네요.
학교 가는게 너무 혐오스러울 정도로 싫어.,그런 생각을 하시게된 이유가 있으신가요?
큰 아들에게 손자 생일날 밥을 사 줄 테니 놀러 오라고 했지만 대답만 잘하고는 오지 않았어.,놀러 오라고 했는데 오지 않아서 많이 속상하시겠어요.
평소 허리가 아파서 물리치료만 받아오다가 병원가서 척추전방전위증 진단을 받았어.,평소 통증이 어떠셨나요?
동생이 게임중독이야.,많이 걱정되시겠어요.
그냥 친구랑 보는건데 옷에 신경쓰시네요?,친구도 눈이있는데 이왕 만나는거 잘 꾸민모습 보이면 좋지.
딸의 우울증이 악화돼서 밖에 나가지도 않고 방에 틀어 박혀있어서 걱정이야.,딸의 우울증으로 인해서 걱정이 많으시겠어요.
한창 나이에 몸이 아파서 집에만 있어.,하루 종일 집에만 계신가요.
이대리가 매일 짜증을 내면 기분이 정말 안좋으시겠어요.,이젠 마주칠 때마다 화가 나서 참기 힘들어져.
혈관 염증 치료하러 병원다녀오는데 진짜 한심하더라.,누가 한심하게 느껴진건가요?
오늘 프로젝트를 끝내고 보고를 올렸어,정말 수고 하셨네 맛있는 음식이라도 드셔야겠어요
우리 딸은 다른 아이들에 비해서 성적이 낮아서 걱정이야.,따님이 성적이 낮아서 고민이 되시겠어요.
만나고 있는 사람이 있는데 다른 사람한테 자꾸 마음이 가.,다른 사람에게 마음이 가서 혼란스러우시겠어요
근무 중 사고를 당해 병원에 있는 친구의 병문안을 갔는데 혼자 있는 모습을 보니 마음이 짠하네.,혼자 외로이 있는 친구를 보고 마음이 짠하셨군요.
아직 나이가 어린데 주변 어른들이 자꾸 결혼을 강요하고 있어.,주변에서 어른들이 결혼을 강요하니 당황하셨군요.
선생님이 나에게 거는 기대가 부담스러워.,선생님이 거는 기대가 부담스러우시군요.
요즘 돈에 대해 혼란스러워.,돈 관리가 잘 안되세요?
내 업무가 다른 사람에게 피해를 주게 되어서 죄책감이 드네. ,무슨 일을 하시고 계시나요?
환갑이 넘으니 너무 외로워.,무슨 일이 있나요?
취업에 자꾸만 실패하니까 당황스럽네.,취업 실패로 많이 당황 하신 것 같네요.
우리 딸이 요즘 노는데 맛들인거 같아 내가 잘못키웠나 생각이 들어.,딸이 요즘 노는데 맛들인거같아서 자신이 잘못키웠나 죄책감이 드시는군요.
나는 친구가 별로 없어서 내 장례식은 초라할 것 같아.,장례식에 사람이 많이 오지 않을 것 같아서 마음이 외로우시군요.
나만 가난한가싶어서 요즘 너무 부끄럽네.,왜 그런 생각을 하셨어요?
요즘 먹고 살기가 어려워서 은퇴하기가 무서워.,어떤 점이 무서우신가요?
내 친구가 건강을 위해서 못 먹을 게 없다네.,건강에 관심이 많으신가봐요.
우리 아들이 항상 반에서 상위권을 유지했는데 갑자기 이번 시험은 성적이 뚝 떨어졌어.,항상 상위권이었던 아들의 성적이 갑자기 떨어졌군요.
이 나이에 해고를 당하니 새롭게 직장을 구할 수 있을지 의문이 들어.,오늘 갑자기 해고를 당하셔서 걱정스럽고 마음이 혼란스러우시겠어요.
우리 회사 부장님이 너무 혐오스러워.,어떤 점 때문에요?
건강이 안 좋아져서 퇴사하고 집에만 있는데 나만 뒤쳐지는 것 같아서 많이 불안해.,그런 상황이라면 불안한 것이 당연하죠.
친구들이 내 진로 희망이 뭐냐고 물어볼 때마다 너무 불편해.,어떤 점에서 불편함을 느끼셨나요?
이번에 지원한 회사에 결국 떨어졌어.,지원하셨던 회사에 떨어지셔서 상심이 크시겠어요.
혼자 사시는 건가요?,룸메이트가 있는데 비즈니스적인 관계라 같이 있어도 외로워.
몇년전에 취업한 친구는 벌써 직장에서 진급을 했대 나는 아직 취업도 못했어.,많이 속상하시겠어요.
룸메이트가 볼 일을 보고 변기를 안 내려.,그럴때마다 기분이 어떠신가요?
예전에는 입원하면 손주들이 병문안을 왔었어.,손주들 얼굴도 보고 좋으셨겠네요.
내가 자료를 잘못 보내서 대표님께서 화내실 것 같아.,대표님께서 화를 내실까 봐 걱정하고 계시군요.
국가에 이바지해야 하는데 자꾸 도움만 받는 것 같아 부끄럽네.,국가로부터 어떤 도움을 받으시는지요?
삼 학년 일 학기인데 지금까지 내가 공부를 안 한 게 죄책감이 들어.,무슨 일인지 자세하게 알려줄 수 있나요?
형이랑 같이 길을 뛰어가다가 돌에 걸려서 넘어져서 부끄러웠어.,길에서 넘어져서 부끄러우셨군요.
언니한테는 맨날 건강하다고 자랑했는데 이번 건강검진에 당뇨가 나와서 당황스러워.,검장 상태가 좋지 않게 나와서 당황스럽겠어요.
따돌림을 받고 고립감이 들어.,왜 따돌림을 받으셨나요?
암으로 고생하던 친구가 죽었어.,놀라고 슬프겠어요.
몇 년 지나면 이제 은퇴인데 시원섭섭하네.,감정에 대해서 저한테 편하게 말씀해보세요.
남자친구에게 마음에도 없는 말을 하면서 헤어지자고 했는데 죄책감이 들어.,홧김에 한 말에 죄책감이 드셨군요.
결혼하는 아들을 보니 암으로 세상을 떠난 아내가 더욱더 그리워.,세상을 떠나신 아내분 생각에 많이 괴로우시겠어요.
지갑이 땅이 떨어져 있길래 주웠는데 주변에 사람이 많아서 내 지갑인 척 했어.,지갑을 줍고 나니 주변에 사람이 많아서 당황했겠어요.
건강에 대한 열등감이 들어.,왜 그러세요?
눈이 침침해 안과에 갔는데 시력이 많이  안 좋아 우울해.,안과에 가셨는데 시력이 많이 안 좋게 나오셨군요.
내가 좋아하는 사람이 있는데 그 사람을 좋아하는 내가 잘못된 거라고 그래서 속상해.,좋아하는 친구에 대한 마음이 잘못된 것이라고 말하는 친구에게 속이 상하셨군요.
다른 사람들과 어울리는 게 힘들어.,사람들과 어울리는 것에 대해 어려움을 느끼시는군요.
공부를 친구랑 같이 하면 좋을텐데.,친구랑 같이 공부할순 없나요?
직장에서 내 자신이 한심하게 느껴지는 일로 고민스러워.,그런 생각이 어쩌다가 드셨나요?
동창회도 대학이나 고교가 아닌 국민학교 동창회 일을 좀 보았는데 참으로 황당한 일을 다 겪어 보았네.,어떤 일이 있었나요?
같은반 친구를 때렸는데 죄책감이 들어.,학교폭력에 죄책감을 느끼시는군요.
오늘 졸업앨범 촬영하러 현장학습갔는데 또 혼자 밥먹었어.,친구들과 같이 안드셨어요?
엄마가 어제 갑자기 나한테 화를 냈어.,엄마께서 갑자기 화를 내셨다니 정말 당황스러우셨겠어요.
만성질환도 없이 건강하게 노년을 보내다고 생각했는데 놀랐어.,무엇때문에 놀라 셨나요.
가족들이 나한테 언니처럼 공부하라고 자꾸 구박해.,공부를 열심히 하시는데 자꾸 하라고 하셔서 많이 스트레스 받으시겠어요.
죄책감이 많이 들어.,무슨 일이 있으셨나요?
오랫만에 고등학교 공개수업에서 너무 반가워 손을 흔들었더니 아들이 나를 부끄러워 해서 얼굴이 빨개졌어,반가운 마음에  나도 모르게 손을 격하게 흔들었는데 아들이 부끄러워 해서 당황스러우셨겠네요
아기가 예정일보다 빨리 나올 것 같다는 이야기를 들어서 당황스러워.,예정일보다 출산이 빨라지니 너무 당황스럽겠어요.
재정만 허락된다면 하고 싶은 가게가 있는데 가족들이 모두 만류해.,하고 싶은 것을 가족들이 반대해서 힘드시겠어요.
건강검진을 받았는데 결과가 영 안좋아.,건강검진 결과가 그렇게 나와서 정말 슬프시겠어요.
부하 여직원이 울면서 면담을 요청을 하는데 나도 모르게 주위를 보게 되더라.,갑자기 부하 여직원이 울음을 터트려서 주변 눈치 신경이 쓰이겠어요.
며칠 전에 낙하산으로 들어온 동료가 내가 하던 업무를 가르치려들어.,많이 당황스러웠겠어요.
자식들이 집을 모두 떠났어.,자녀분들이 모두 독립을 하셨나 봐요.
갑자기 얼굴에 마비가 와서 너무 놀라고 걱정돼.,얼굴에 마비가 와서 정말 근심이 되시겠어요.
사람들에게 조카가 박사를 하고 있다고 했는데 사실은 아직 대학원생이야.,조카가 아직 대학원생인데 사람들에겐 박사를 하고 있다고 하셨군요.
나이 들어가는 내 모습이 너무 낯설고 힘들 때가 있어.,나이 들어가는 모습을 받아들이는 게 힘드시군요.
내 재정상태를 보니 한심해서 한숨밖에 안나와.,재정상태가 안좋으신가요?
대표님이 모든 직원이 보는 앞에서 나를 혼냈어,저런 기분이 정말 안좋으셨겠어요
내 남은 전 재산이었는데 난 어떻게 살아야할까?,무슨 안좋은 일이라도 당하셨나요?
요즘은 업무 스트레스를 풀 수 있는 방법이 없네,예전은 달랐나요?
의사가 금연을 권유해서 전자 담배가 덜 해로울 것 같아 대신 피우고 있어.,한번 시작한 담배는 끊기 어려워서 덜 해로운 걸 피운다니 다행이에요.
직장에서 소외된 느낌이야. 사람들이 업무 외에 나를 피하고 있어,직장에서 소외감을 느끼시는군요.
요즘 직장 분위기가 혼란해.,무슨 일이 있었나요?
노후 준비 해야하는데 어떻게 할 지 혼란스러워.,노후 준비에 대한 방법을 몰라 혼란스러움을 느끼시는군요.
나이도 많이 들었는데 생활비가 부족해서 사람 만나기가 부끄럽네.,왜 생활비가 부족하신가요?
어렵게 구한 직장인데 지금은 소개해준 친구가 원망스러워.,직장을 구했는데 왜 친구분이 원망스러우세요?
친구가 수업 시간에 핸드폰만 해서 너무 한심해.,친구분 때문에 한심하고 안타까우시겠어요.
오늘이 며칠인지도 생각이 안 나는데 아내가 갑자기 결혼기념일을 물어봐서 당황스러워.,아내 분께서 갑자기 결혼기념일을 물어보셔서 당황하셨군요.
틀리면 안 되는 맞춤법을 틀렸는데 요즘 한국어 잘하는 외국인인가 의심스럽다.,자주 사용하는 맞춤법을 틀리셔서 속상하시겠어요.
부모님께 공부 열심히 한다고 말씀 드렸는데 오늘도 게임을 하고 놀았어.,부모님과 열심히 하기로 약속하시고 게임을 하셔서 죄송한 감정이 드시는군요.
우리 가족에 대해서 묻지 않았으면 좋겠어.,무엇 때문에 가족에 대해서 묻지 않았으면 하나요?
아침에 회사에 출근 했는데 아무도 없는거야 그래서 확인 해보니까 오늘이 토요일이 더라고 진짜 당황했어,회사에 출근 했는데 아무도 없어서 당황 하셨군요
우리 남편은 퇴근 후에 집에서 맨날 티브이만 보네.,남편분이 퇴근 후에 맨날 티브이만 보는 것에 대해 어떻게 느끼시나요?
부모님께서 매우 기분이 좋으셨겠어요.,응 많이 좋아하시더라 나한테 고맙다고 하시더라고.
일흔인데 내 대인관계가 한심해.,왜 그러시죠?
학교폭력을 당하고 있어.,학교폭력을 당하고 있다니 힘드시겠어요.
회사 면접을 보는데 이 나이가 되도록 스펙이 없다는 말을 들어서 너무 부끄러웠어.,당황스럽겠어요.
친구의 물건을 몰래 훔쳤는데 친구가 그 물건을 찾는데도 모르는 척했어.,친구가 그 물건을 찾을 때 많이 당황했겠어요.
나이들수록 젠틀하게 늙었으면 좋겠어.,어떤 부분 때문에 그렇게 생각하시나요?
요즘 쓸쓸하고 외롭네.,요즘 외로우시다니 무슨 일인지 얘기해 주실 수 있으세요?
건강하나 제대로 관리못했더니 스스로 너무 한심하게 느껴져.,왜 그런생각을 하시는 건가요?
벌써 일 년째 취업을 못 하고 집에만 있으니까 부모님께 미안하다.,취업 문제로 부모님께 죄송한 마음이 드시는군요.
밖에서 억울한 일을 당해서 하소연하고 싶은데 집에 아무도 없어.,하소연하고 싶은데 집에 아무도 없어서 많이 답답하겠어요.
헤어진 지 오래된 전 남자 친구한테 전화가 와서 너무 당황스러워.,갑자기 전화가 와서 당황스러우셨겠군요.
친구들이 나한테 말을 안걸어.,원래 내성적인 성격인가요?
취업 면접장에서 창피한 일을 겪었어.,면접 과정에서 다소 부끄러운 상황이 있으셨군요.
직장 상사랑 출장 가게 되었는데 갑자기 나 혼자 가라고 하시네.,갑자기 혼자 출장을 가게 되셨군요. 
누나가 나랑 놀자며 근처 공원에 왔는데 해가 저물고 나니 나 혼자였어.,누나를 따라 공원에 갔는데 해가 저물고 나니 혼자셨군요.
딸이 어렸을 때 엄마한테 사랑을 못 받고 자랐다며 날 원망한다고 말했어.,따님한테서 그런 이야기를 듣고 마음이 무척 안 좋으셨겠어요.
체육시간 끝나고 쉬는 시간에 남자애들이 반에서 옷을 갈아입어서 황당했어.,갑자기 옷을 벗어서 당황하셨겠네요.
오랜만에 동창회에 갔는데 친구들끼리 갑자기 크게 싸웠어.,그런 일이 있으셨다니 많이 당황스러우시겠어요.
어제까지만 해도 서랍 안에 있었던 돈이 없어졌어.,서랍 구석구석을 다 찾아보셨나요?
건강하려면 운동을 해야한다는데 운동하려니 다리가 아프고.,운동과 건강이 걱정되시는군요.
백만원을 보이스피싱 당한 것 같아.,보이스피싱을 당해 많이 놀라셨겠군요.
부모님이 사이가 안 좋아서 부끄러워.,부모님이 사이가 좋지 않아 부끄러우시군요.
아빠가 친구들 앞에서 재미없는 농담을 해서 부끄러웠어.,그런 일이 있으셨군요.
우리 이사는 퇴근시간만 되면 일을 시키는데 왜 그러는지 모르겠어,항상 그러시는 건가요?
아들이 친구들에게 키가 작고 못생겼다고 놀림을 받고 와서 당황스럽네.,아들이 놀림을 받고 와 당황스럽군요.
학교에 나를 괴롭히는 애가 있는데 진짜 쳐다보기도 싫어.,괴롭히는 사람에게 분노를 느끼시나봐요.
죽음이 가까워진다는 생각에 불안해.,죽음에 대하여 생각이 많아 보이세요.
어제 소개팅에서 차인 것 같아.,아주 속상하시겠어요.
건강관리가 혐오스러워.,많이 힘드시겠어요.
자식들에게 정말 미안한 생각에 부끄럽고 괴로워. ,어떤 일이신지요?
내 치료비 때문에 자식들이 싸우는 걸 보느니 차라리 죽는 게 낫겠어.,치료비 때문에 자식들이 싸우는 걸 보니 고통스러우시군요.
아내 폐렴 증상이 더 악화되었어.,정말 걱정 많으시겠어요.
가해자들이 선생님 앞에서 나를 잘 챙기는 척 눈을 마주치며 웃었어.,가해자들이 선생님 앞에서만 잘 챙겨주는 척 하는군요.
걱정이 많으시겠어요.,드디어 원하던 직장에 취업을 성공했어 너무 기뻐.
내가 건강한 건지 모르겠어.,왜 그러세요?
내가 소개해준 김 영감에게 여러사람이 피해를 봐서 죄책감이 들어.,자신때문에 피해를 본 사람이 생겨 죄책감을 갖고 있으시겠어요.
만원 지하철에서 답답해 옆 사람에게 짜증을 냈는데 내린 후에도 내내 마음에 걸리네.,옆 사람에게 짜증을 내셔서 마음이 편하지 않으시군요.
취직도 못 한 아들이 용돈을 달라고 해서 너무 한심해.,용돈을 달라고 하는 백수 아들이 한심하게 느껴지시는군요.
여자로서 일하는 게 쉽지 않네.,무슨 일이 있으셨나요?
내게 잘해주지도 않는 남자친구에게 매달릴 때마다 솔직히 당황스러워.,무엇이 당황을 느끼도록 만들었나요?
오늘 아빠 표정이 안 좋아서 내가 매달리고 장난을 쳤는데 정색하고 무시해서 당황스러웠어.,진짜 당황스러웠군요.
아들이 우리 집에 있는 내 물건을 다 팔아버려서 당황스럽고 화가 나.,아들이 당신의 물건을 팔아버려서 당황스러우셨군요.
대학원에 진학하고 싶지만 소득이 없으니 아내에게 미안해.,금전적인 부분에서 미안한 감정이시겠어요.
가족들이 혐오스러워.,무슨 일이 있으셨나요?
새벽 일찍 일어나서 공부할 때 혼자 있는 느낌이 들어.,저도 그럴 때가 있었어요.
가해자 부모님이 미안하다며 용서를 비셨어,가해자 부모님이 용서를 빌었다니 마음이 않좋았겠어요
우리 큰 딸이 원래 경제 개념이 조금 없었는데 이번에 너무 충격적인 일이 있었어.,무슨 일이 있으셨는데요?
왜 일을 이런 식으로 했냐는 상사의 말에 당황했어.,일을 어떻게 했길래 그런지 말해줄 수 있나요?
돈이 없어 친구도 못만나고 완전 고립되어 혼자인듯한 기분이야.,혼자인듯한 기분이라 우울하시겠어요 .
건강이 안좋으니 마음이 외롭게 느껴져.,건강 문제로 힘들고 외로우시겠어요.
와이프가 쇼핑중독인거같아.,쇼핑을 많이 하시나봐요?
나이가 들어서 업무 중 엑셀을 활용해야 할 때 잘하지 못해 부끄러울 때가 있어,업무 중 엑셀 사용에 서툴러 부끄러우셨군요.
직장 내에서 내 위치와 영향력을 지키기 위해 적당히 타협하고 지나간 것들이 한참 아래 후배의 소신 발언으로 변경 조처되었어.,직장 내 영향력을 지키기 위해선 어느 정도까지 타협해야 할까요?
자식에게 잘해주지 못한 것 같아서 부끄럽네.,왜 자식 분께 잘해주지 못했다고 느끼시나요?
오늘 내 형을 만났어.,좋은 시간이였겠네요.
아내는 내가 퇴근하고 집에 와도 누워서 텔레비전만 보는데 한심해.,퇴근하고 와도 티브이만 보는 아내가 한심하시군요.
친구 녀석이 당뇨병이 심하거든.,정말 안타깝네요.
이번 거래를 성사 못 시켜서 상사인 부장님께서 실망을 하셨을 것 같아.,부장님이 실망하셨을까 봐 마음이 혼란스럽겠어요.
집으로 가는 길이 기억이 나지 않고 팔찌도 잃어버린걸 보니 늙은 것 같아 쓸쓸해.,치매라는 증상이 체감되시니 정말 쓸쓸하시겠어요.
수업 시간에 진로 발표하기가 있는데 내 꿈을 말하기가 부끄러워.,부끄러운 이유를 물어봐도 될까요?
오늘 죄책감이 들어.,왜 그러세요?
오랫만에 만난 친구가 나이 사 십인데 아직도 결혼을 안했어.,오랫만에 만난 친구가 결혼을 안해서 놀라셨군요.
오늘 직원이 과거에 내가 했던 업무를 물어보는데 많이 당황했어.,과거 업무를 물어봐서 당황하셨군요?
이제 나이를 먹어 무릎이 계속 아파 오늘 수술을 하기로 했는데 의사가 휴진하게 되어 어찌해야 될지 모르겠다.,정해진 무릎 수술이 취소되어 고립된 기분이 드셨겠어요.
내 돈만 노리는 큰 아들이 너무 혐오스러워.,아들이 혐오스럽다고 생각하시는건가요?
나에게 빚을 진 노인네가 외국으로 달아나서 돈을 어떻게 받아야 할지 당황스러워.,돈을 빚진 사람이 외국으로 달아나 돈을 받지 못하는 상황이 당황스러우시군요.
내가 담배를 피질 않으니 담배 냄새가 참 역겨워.,주변에서 담배를 많이 피우시나봐요.
요새 너무 외로워서 부쩍 연애가 하고싶어.,혹시 마음에 두고있는 상대라도 있으신건가요?
이제 내년이면 은퇴라니 너무 당황스럽네.,오랜 기간 일하다가 그만두려니 당황스러우신가 봅니다.
오늘은 갑자기 우리 회사 상사가 나한테 칭찬을 하더라?,평상시엔 그렇지 않았나요?
비혼을 결정했는데 부모님께 말씀드리기 죄송해.,부모님께 뭐라고 말씀하실 건가요?
정신 못 차리고 회사에서 허세 가득하고 잘난 척만 하는 선배가 한심해보여.,허세 가득하고 잘난 척만 하는 선배를 보면서 한심한 느낌이 들었나보군요.
이거 큰일이네 어쩌지?,무슨일 있으신가요?
직장에서 열등감이 들어.,왜 그러세요?
방귀 낀 놈이 성낸다더니 내 돈을 빌려간 친구가 되려 성질을 내는 상황이 당황스러워.,선의의 마음으로 빌려주었는데 친구가 성질을 내서 당황했군요.
쇼윈도에 비친 내 얼굴 보고 놀라고 축 늘어진 내 뱃살 보고 놀라고 이리저리 놀라운 하루야.,헬스 효과 나타난다고 좋아하시지 않으셨나요?
학교폭력 가해자 애들을 보면 사람이 아닌 것 같아.,무슨 일 있으셨어요?
지금 다니고 있는 회사에서 업무가 너무 많아서 계속 다니기가 힘들어.,업무가 너무 많아서 회사에서 계속 힘드시겠어요.
남편 정년퇴임이 내일 모레인데 노후준비 때문에 걱정이네.,노후 준비로 인한 고민이 가득하시군요.
술에 취해 주사를 하는 친구의 모습을 처음 보니 당황스러워.,친구의 주사하는 모습을 처음 봐서 당황스러우시겠어요.
사장님이 갑자기 내게 면담을 요청하셨는데 너무 당황스러워.,갑작스럽게 면담 요청이 들어와서 불안한 마음이 들었겠어요.
아이 학교에 갔다왔는데 담임선생님 보기 민망해서 혼났어.,무슨 일로 다녀오셨나요?
회사 일이 많지만 제대로 업무를 처리하기가 버거워.,일이 많아서 힘드시겠어요.
회사 위해 일하다가 다쳤는데 나를 해고 했어!,다쳤는데 해고됐다니 많이 당황스럽겠어요.
명절 때마다 엄마는 친척들에게 내 자랑을 엄청 해서 당황스러워.,엄마 때문에 많이 당황스럽겠네요.
남편이 출근할 때마다 뽀뽀를 하는데 아이들 앞이라 부끄러워,남편의 아침 뽀뽀가 아이들 앞이라 부끄러우시겠네요
난 음악 말고는 생각해본 적이 없어.,음악을 좋아하시는 군요.
딸을 너무 좋아하는 남편의 당황한 모습이 자꾸 생각나서 웃음이 나네.,남편분이 왜 당황하셨나요?
수입은 한정되어 있는데 돈 나가야 할 곳은 너무 많아.,수입보다 지출이 많으시군요.
동생이 나한테 애교부리는게 너무 싫어.,동생이 싫으신가요?
회사 워크샵 장기자랑에서 잘하고 싶어.,워크샵 장기자랑이 고민이신가봐요.
대인관계를 잘 유지해 가지 못하고 있는 것 같아서 한심한 기분이 들어.,대인관계 유지에서 어려움을 겪고 계시는군요.
갑자기 병원에 가서 검진받으려니 두려워!,평소에 불편하신 곳이 있으신가요?
난 아직 젊다고 생각하는데 친구들은 벌써 노후준비 한다고 바빠.,생각지 못한 주제에 당황하셨군요.
아이고,시험은어떻게보려고
나이는 들었는데 재정적으로 여유롭지 못한 것 같아서 부끄러워.,나이에 비해 돈이 생각만큼 많지 않아 부끄러우시군요.
여유롭게 진행하던 프로젝트가 일정이 급하게 앞당겨져 비상사태야.,여유롭게 진행하던 일들이 바빠지게 돼서 힘드시겠어요.
나랑 동갑인 회사사람이 나보다 승진을 빨리했어,동갑인 사원이 승진을 빨리해서 기분이 상하셨나요?
요새 너무 혼란스러워.,무슨 일이 있으셨나요?
통장 하나를 잃어버렸어.,어떤 통장인가요?
북학산 둘레길 걷기를 갔는데 햄스트링을 다쳤어.,저런 갑자기 몸에 무리가 갔나보네요.
건강이 별로 좋지 않아 좀 걱정이야.,건강이 좋지 않아 걱정이시군요.
부모님은 대학에 가길 원하시는데 난 취직을 먼저 하고싶어서 말씀을 드려야하는데 너무 부끄러워.,부모님께 말씀드리는게 부끄럽더라도 조심스럽게 이야기를 꺼내보는건 어떨까요?
너무 싫은 사람이 있는데 어떻게 해야 할까?,주변에 싫은 사람이 있어서 고민 중이시군요.
서울 살면서 집 한 칸 마련하지 못한 게 가족들에게 미안해.,내 집 마련을 못 해 가족들에게 미안한 마음이 드시는군요.
학교폭력 하는 애들 너무 한심해.,왜 그러세요?
친구는 내가 명품 사는 것 가지고 뭐라고 하더라.,친구가 뭐라고 하는데요?
